# 45860ae1
Energy: Darkness, Grass
1 A1 225
1 A2 110
1 A3 144
2 A3 146
1 A3a 042
1 B1 223
1 B1 225
2 B2 011
1 B2 012
2 B2 013
1 B2 154
2 B2b 040
1 B2b 069
2 P-A 005
1 P-A 007

# 7609e7f1
Energy: Darkness
1 A1 225
1 A2 110
2 A3 146
1 A3a 042
1 B1 223
1 B1 225
2 B2 011
2 B2 012
2 B2 013
1 B2 154
1 B2a 093
2 B2b 040
2 P-A 005
1 P-A 007

# b43ec47e
Energy: Darkness, Grass
1 A1 225
1 A2 110
1 A3 144
2 A3 146
1 A3a 042
1 B1 223
1 B1 225
2 B2 011
2 B2 012
2 B2 013
1 B2 154
2 B2b 040
1 B2b 069
1 P-A 005
1 P-A 007
