# 0057c177
Energy: Fighting, Water
2 A1 225
2 A2 121
2 A2 123
1 A2 147
2 A2 152
2 A2a 046
1 A2a 047
2 A2a 063
2 A2a 074
2 P-A 005
2 P-A 007

# 032f59cf
Energy: Fighting, Water
1 A1 225
2 A2 121
1 A2 122
1 A2 123
1 A2 147
1 A2 150
1 A2 155
1 A2a 046
1 A2a 047
1 A2a 072
2 A3 016
1 A3 155
2 A3a 027
2 P-A 005
2 P-A 007

# 06eb8bfa
Energy: Fighting, Water
2 A1 196
2 A2 121
2 A2 122
2 A2 123
1 A2 146
2 A2 147
1 A2 150
2 A2 152
1 A2a 047
1 A2a 072
2 P-A 005
2 P-A 007

# 11c87d83
Energy: Fighting, Water
1 A1 154
2 A2 123
2 A2 146
2 A2 148
1 A2 150
2 A2 152
2 A2a 045
2 A2a 046
1 A2a 047
2 A2a 072
1 A2b 069
2 P-A 007

# 121abfd8
Energy: Fighting, Water
2 A2 121
2 A2 122
2 A2 123
1 A2 146
1 A2 147
1 A2 150
2 A2 152
1 A2a 047
2 A2a 063
2 A2a 074
2 P-A 005
2 P-A 007

# 134dec66
Energy: Fighting, Water
1 A1 087
1 A1 089
2 A2 121
2 A2 123
1 A2 150
1 A2 152
1 A2a 046
1 A2a 047
2 A3 144
1 B1 223
1 B1 225
1 B1a 065
1 B2b 069
2 P-A 005
2 P-A 007

# 15ad1dea
Energy: Fighting, Water
1 A1 223
2 A2 121
2 A2 123
1 A2 148
2 A2 152
1 A2a 046
1 A2a 047
2 A2a 072
1 A2b 069
2 A3 144
1 A3 155
2 P-A 005
2 P-A 007

# 1a64e9f8
Energy: Fighting, Water
1 A1 225
2 A2 121
2 A2 123
1 A2 147
1 A2 150
1 A2 152
1 A2a 047
2 A3 144
2 A4a 023
2 B1 225
1 B2b 069
2 P-A 005
2 P-A 007

# 1bc7b3af
Energy: Fighting, Water
1 A1a 068
2 A2 087
2 A2 121
2 A2 122
2 A2 123
2 A2 148
2 A2 152
1 A2a 047
2 A2a 072
2 P-A 005
2 P-A 007

# 1d89560b
Energy: Fighting, Water
2 A2 121
1 A2 122
2 A2 123
1 A2 150
2 A2 152
1 A2 155
1 A2a 047
2 A3 144
1 A3 155
2 A4a 023
2 P-A 005
1 P-A 006
2 P-A 007

# 1f29303d
Energy: Fighting, Water
1 A1 225
2 A2 121
2 A2 122
2 A2 123
2 A2 146
2 A2 147
1 A2 150
2 A2 152
1 A2a 047
1 A2a 072
1 A2a 073
1 P-A 005
2 P-A 007

# 2030a626
Energy: Fighting, Water
1 A1 225
1 A1a 047
2 A2 121
2 A2 122
2 A2 123
2 A2 146
1 A2 148
1 A2 150
1 A2 152
1 A2a 036
1 A2a 047
1 A2a 072
2 P-A 005
2 P-A 007

# 232d796f
Energy: Fighting, Water
1 A1a 047
2 A2 121
1 A2 123
1 A2 146
