# 0c26ee8a
Energy: Fighting, Grass
1 A2 148
2 A2 150
2 A3 144
1 B1 177
2 B1 225
1 B2 017
1 B2 145
2 B3 076
1 B3 125
2 B3 126
1 B3a 074
1 P-A 002
1 P-A 005
2 P-A 007

# 49a15d74
Energy: Fighting, Grass
2 A2 150
2 A3 144
2 B1 177
2 B1 225
1 B2 017
1 B2b 069
2 B3 076
1 B3 125
2 B3 126
1 B3b 064
2 P-A 005
2 P-A 007

# 5330133b
Energy: Fighting, Grass
1 A2 148
1 A2 150
1 A3 066
2 A3 144
1 A4 066
2 B1 225
1 B2 017
1 B2 147
2 B3 076
2 B3 126
1 B3 147
1 P-A 002
2 P-A 005
2 P-A 007

# 5c66d630
Energy: Fighting, Grass
2 A2 148
1 A2 150
2 A3 144
2 B1 109
2 B1 225
1 B2 017
1 B2 145
2 B3 076
2 B3 126
1 P-A 002
2 P-A 005
2 P-A 007

# 7b268636
Energy: Fighting, Grass
2 A2 150
1 A2a 069
1 A2b 070
2 A3 144
2 B1 225
1 B1a 065
1 B2 017
2 B3 076
2 B3 126
1 B3 147
2 P-A 005
1 P-A 006
2 P-A 007

# 7fed20a0
Energy: Fighting, Grass
1 A2 148
2 A2 150
1 A2b 070
2 A3 144
2 B1 225
1 B1a 065
1 B2 017
1 B2 147
2 B3 076
2 B3 126
1 P-A 002
2 P-A 005
2 P-A 007

# 849afd0b
Energy: Fighting, Grass
1 A2 148
2 A2 150
1 A2 155
2 A3 144
1 A3 155
2 B1 225
1 B2 017
2 B3 076
1 B3 125
2 B3 126
1 P-A 002
2 P-A 005
2 P-A 007

# 91f37f9e
Energy: Fighting, Grass
2 A2 150
1 A2a 069
1 A2b 070
2 A3 144
2 B1 225
1 B1a 065
1 B2 017
2 B3 076
1 B3 125
2 B3 126
1 B3 147
2 P-A 005
2 P-A 007

# 978352fb
Energy: Fighting, Grass
1 A1 087
1 A1 089
2 A2 150
2 A3 144
1 B1 225
1 B2 017
2 B3 076
1 B3 125
1 B3 126
1 B3 147
1 B3a 071
2 B3b 054
2 P-A 005
2 P-A 007

# 9d354229
Energy: Fighting, Grass
2 A2 148
1 A2 150
2 A3 144
2 B1 177
2 B1 225
1 B2 017
1 B2 145
2 B3 076
2 B3 126
1 P-A 002
2 P-A 005
2 P-A 007

# a3464f23
Energy: Fighting, Grass
1 A2 148
2 A2 150
2 A3 144
2 B1 109
2 B1 225
1 B2 017
2 B2 145
2 B3 076
2 B3 126
2 P-A 005
2 P-A 007

# d4094b20
Energy: Fighting, Grass
2 A2 150
2 A3 144
1 A3 155
2 A4a 059
1 B1 223
1 B2 017
1 B2 145
2 B2b 040
2 B3 076
2 B3 126
2 P-A 005
2 P-A 007

# f1f95860
Energy: Fighting, Grass
1 A2 148
2 A2 150
1 A3 066
2 A3 144
1 A4 066
2 B1 225
1 B2 017
1 B2 145
2 B3 076
1 B3 125
2 B3 126
2 P-A 005
2 P-A 007
