# 940e1925
Energy: Fighting, Psychic
2 A1 120
1 A1 122
1 A1 123
1 A1 154
1 A1 223
1 A1 225
1 A1a 033
2 A1a 046
2 A1a 063
2 P-A 002
2 P-A 005
2 P-A 007
2 P-A 020

# b922af92
Energy: Fighting, Psychic
1 A1 120
1 A1 121
1 A1 123
1 A1 129
1 A1 154
1 A1 201
2 A1 223
1 A1a 032
1 A1a 041
1 A1a 042
1 A1a 046
1 A1a 047
1 A1a 060
2 A1a 063
2 P-A 005
2 P-A 007

# e306422a
Energy: Fighting, Psychic
1 A1 057
2 A1 120
2 A1 121
2 A1 123
1 A1 124
1 A1 125
1 A1a 033
1 A1a 046
1 A1a 063
2 A1a 065
1 A1a 068
1 P-A 001
2 P-A 005
2 P-A 007

# e6571174
Energy: Psychic
2 A1 123
1 A1 223
1 A1a 039
1 A1a 040
1 A1a 046
1 A1a 063
1 A1a 065
1 A1a 068
2 A2 147
1 A2 150
2 A2a 031
1 P-A 002
1 P-A 005
2 P-A 007
2 P-A 020
