# 092fa2cc
Energy: Psychic
2 A1 098
1 A1 225
2 A2 051
2 A2 053
2 A2 067
2 A2 146
1 A2 147
1 A2 150
1 P-A 002
2 P-A 005
2 P-A 007
1 P-A 037
1 P-A 038

# 0c012582
Energy: Psychic
2 A1 098
1 A1 225
2 A2 051
2 A2 053
2 A2 067
2 A2 146
1 A2 147
1 A2 150
1 A2 155
2 P-A 005
2 P-A 007
2 P-A 038

# 136d14ca
Energy: Psychic
2 A1 097
2 A1 098
1 A1 225
2 A2 053
2 A2 066
2 A2 067
2 A2 146
2 A2 147
1 A2 150
2 P-A 005
2 P-A 007

# 19011fcf
Energy: Psychic
2 A1 098
1 A1 225
2 A2 051
2 A2 053
2 A2 066
2 A2 067
1 A2 146
2 A2 147
1 A2 150
1 P-A 002
2 P-A 005
2 P-A 007

# 1998ff39
Energy: Psychic
2 A1 098
2 A2 051
2 A2 053
2 A2 067
1 A2 077
2 A2 150
1 A2 154
2 P-A 002
2 P-A 005
2 P-A 007
2 P-A 038

# 19a269cb
Energy: Psychic
2 A1 098
1 A1 223
2 A2 051
2 A2 053
2 A2 067
2 A2 146
1 A2 147
1 A2 150
1 P-A 002
2 P-A 005
2 P-A 007
2 P-A 038

# 1a759265
Energy: Psychic
2 A1 098
1 A1 225
2 A2 051
2 A2 053
2 A2 067
1 A2 078
1 A2 147
1 A2 150
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007
2 P-A 038

# 20da069a
Energy: Psychic
2 A1 098
1 A1 225
2 A2 051
2 A2 053
2 A2 067
1 A2 078
1 A2 146
1 A2 147
1 A2 150
1 P-A 002
2 P-A 005
2 P-A 007
2 P-A 038

# 216b131b
Energy: Psychic
2 A1 098
2 A1 225
1 A2 051
1 A2 053
2 A2 066
2 A2 067
2 A2 146
1 A2 147
1 A2 150
2 P-A 002
2 P-A 005
2 P-A 007

# 27460708
Energy: Psychic
2 A1 098
2 A2 051
2 A2 053
2 A2 066
2 A2 067
2 A2 146
2 A2 147
1 A2 150
1 P-A 002
2 P-A 005
2 P-A 007

# 38df2691
Energy: Psychic
2 A1 097
2 A1 098
1 A1 223
1 A1 225
2 A2 053
2 A2 066
2 A2 067
1 A2 146
1 A2 147
1 A2 150
1 P-A 002
2 P-A 005
2 P-A 007

# 494fae91
Energy: Psychic
2 A1 098
1 A1 225
1 A1a 032
2 A2 051
2 A2 053
2 A2 066
2 A2 067
2 A2 146
