# 014fc474
Energy: Fire, Water
1 A1 223
2 A1a 056
1 A1a 068
1 A2 147
1 A2 148
1 A2 150
1 A2a 072
1 A3 151
1 A4 032
1 A4 151
1 A4a 023
2 A4a 055
2 A4a 064
2 P-A 005
2 P-A 007

# 015466f9
Energy: Fire, Water
1 A1 225
2 A1a 056
1 A1a 068
1 A2 147
1 A2 150
2 A2a 072
1 A3 146
1 A4 032
1 A4a 023
2 A4a 055
2 A4a 064
2 P-A 005
1 P-A 006
2 P-A 007

# 0ec4a556
Energy: Fire, Water
2 A1a 056
2 A2 148
1 A2 150
1 A2b 071
1 A4 032
2 A4 151
1 A4 157
1 A4a 023
2 A4a 055
2 A4a 064
2 P-A 005
1 P-A 006
2 P-A 007

# 2c977ec2
Energy: Fire, Water
1 A1 225
2 A1a 056
2 A1a 068
1 A2 147
1 A2 150
1 A2a 072
1 A3 146
1 A4 032
1 A4a 023
2 A4a 055
2 A4a 064
2 P-A 005
1 P-A 006
2 P-A 007

# 3538c023
Energy: Fire, Water
1 A1 225
2 A1a 056
1 A1a 068
1 A2 147
2 A2 148
1 A2 150
1 A2b 070
1 A4 032
1 A4 157
1 A4a 023
2 A4a 055
2 A4a 064
2 P-A 005
2 P-A 007

# 3c0a6b6b
Energy: Fire, Water
2 A1a 056
1 A2 147
2 A2 148
1 A2 150
1 A2 155
1 A4 032
2 A4 151
1 A4 157
1 A4a 023
2 A4a 055
2 A4a 064
2 P-A 005
2 P-A 007

# 3ebecfea
Energy: Fire, Water
1 A1 225
2 A1a 056
1 A1a 068
2 A2 148
1 A2 150
1 A2b 070
1 A3a 064
2 A4 151
2 A4a 055
2 A4a 064
2 P-A 005
1 P-A 006
2 P-A 007

# 6d9d7d52
Energy: Fire, Water
1 A1 223
2 A1a 056
2 A1a 068
2 A2 148
1 A2 150
1 A4 032
1 A4 066
1 A4a 023
2 A4a 055
2 A4a 064
2 P-A 005
1 P-A 006
2 P-A 007

# 944c088b
Energy: Fire, Water
1 A1 225
2 A1a 056
2 A1a 068
2 A2 147
1 A2 150
1 A2b 070
1 A4 032
1 A4a 023
2 A4a 055
2 A4a 064
2 P-A 005
1 P-A 006
2 P-A 007

# c48b17c8
Energy: Fire, Water
2 A1a 056
1 A1a 068
1 A2 147
2 A2 148
1 A2 150
1 A3a 064
1 A4 032
1 A4 151
1 A4a 023
2 A4a 055
2 A4a 064
2 P-A 005
1 P-A 006
2 P-A 007

# d8ed6a0a
Energy: Fire, Water
1 A1 223
1 A1 225
2 A1a 056
1 A2 147
1 A2 150
1 A2 155
1 A2b 070
1 A4 032
1 A4a 023
2 A4a 055
2 A4a 064
2 P-A 002
2 P-A 005
2 P-A 007
