# 19628062
Energy: Fighting, Water
1 A1a 047
1 A2 006
1 A2 007
1 A2 104
2 A2 121
2 A2 122
1 A2 123
2 A2 146
1 A2 147
1 A2 150
2 A2 152
1 A2 154
2 P-A 005
2 P-A 007

# 313ac558
Energy: Fighting, Water
1 A1a 056
1 A2 006
1 A2 007
2 A2 121
2 A2 122
2 A2 123
2 A2 146
1 A2 147
1 A2 148
2 A2 152
1 A2 154
2 P-A 005
2 P-A 007

# 3d794f66
Energy: Fighting, Fire, Water
1 A1a 056
1 A1a 068
1 A2 006
1 A2 007
2 A2 121
2 A2 123
2 A2 147
1 A2 150
2 A2 152
2 A2a 046
2 A2a 072
1 P-A 005
2 P-A 007

# 476ba67b
Energy: Fighting, Water
1 A1 225
1 A1a 047
1 A2 006
1 A2 007
2 A2 121
2 A2 122
2 A2 123
1 A2 146
1 A2 147
1 A2 148
1 A2 150
2 A2 152
2 P-A 005
2 P-A 007

# 75ce5164
Energy: Fighting, Water
1 A1 225
1 A2 006
1 A2 007
2 A2 050
2 A2 121
2 A2 122
2 A2 123
2 A2 146
1 A2 148
1 A2 152
1 A2 154
2 P-A 005
2 P-A 007

# a11c151d
Energy: Fighting, Water
1 A1 225
1 A2 006
1 A2 007
2 A2 121
2 A2 122
2 A2 123
2 A2 146
1 A2 147
2 A2 152
1 A2 154
1 P-A 002
2 P-A 005
2 P-A 007

# ced37deb
Energy: Darkness, Fighting
1 A1 225
1 A1a 056
1 A2 006
1 A2 007
2 A2 121
2 A2 122
2 A2 123
1 A2 146
1 A2 147
2 A2 148
2 A2 152
2 P-A 005
2 P-A 007
