# 05ca9948
Energy: Lightning, Water
2 A1 185
1 A2 146
2 A2 147
2 A3 144
2 A3 155
2 A3b 051
1 A3b 052
1 A4 066
1 A4 077
1 A4 151
1 A4a 023
2 P-A 005
2 P-A 007

# 06b65999
Energy: Lightning, Water
1 A1 183
2 A1 185
1 A2 146
2 A2 147
1 A2 150
1 A2a 072
1 A2b 070
1 A2b 071
2 A3 155
2 B2 145
1 B2b 051
2 B2b 052
1 P-A 005
2 P-A 007

# 06cc825c
Energy: Lightning, Water
2 A1 183
1 A1 184
2 A1 185
1 A2 155
2 A3 144
1 A3 155
1 A4 066
1 A4 077
1 A4a 023
1 B1 219
1 B1 223
1 B1 225
1 P-A 002
2 P-A 005
2 P-A 007

# 081495c2
Energy: Lightning, Water
2 A1 183
2 A1 184
2 A1 185
1 A1 203
1 A1a 056
2 A1a 068
1 A2 146
2 A2 147
2 A2a 072
1 P-A 001
2 P-A 005
2 P-A 007

# 0a4c04e5
Energy: Lightning, Water
2 A1 183
2 A1 184
2 A1 185
1 A1 211
1 A1 223
2 A1 225
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 006
2 P-A 007

# 0ba63e41
Energy: Lightning, Water
2 A1 185
1 A2 146
2 A2 147
1 A2 155
2 A2b 070
2 A3 155
2 B1 225
2 B2 145
2 B2b 051
2 B2b 052
2 P-A 007

# 0e381b9e
Energy: Lightning, Water
2 A1 183
2 A1 184
2 A1 185
1 A1 225
1 A1a 056
2 A1a 068
1 A2 050
2 A2 146
2 A2 147
1 P-A 002
2 P-A 005
2 P-A 007

# 0e799e6c
Energy: Lightning, Water
1 A1 083
2 A1 183
2 A1 184
2 A1 185
1 A1 198
2 A1 220
1 A1 223
1 A1 225
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 0fb00031
Energy: Water
2 A1 183
2 A1 185
1 A2 146
1 A2 147
1 A2 155
1 A2a 063
1 A2a 072
1 A2a 074
2 A3 144
1 A3 151
1 A4 066
1 A4 157
1 A4a 023
2 P-A 005
2 P-A 007

# 0fd33333
Energy: Lightning, Water
1 A1 079
1 A1 083
2 A1 183
2 A1 184
2 A1 185
2 A1 220
1 A1 225
2 P-A 001
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 1240cf7a
Energy: Lightning, Water
2 A1 183
2 A1 185
2 A3 144
1 A4 066
1 A4a 023
2 B1 225
1 B2 145
1 B2b 052
1 B2b 069
1 B3 004
1 B3 147
1 P-A 002
2 P-A 005
2 P-A 007

# 16511204
Energy: Lightning, Water
2 A1 183
2 A1 184
2 A1 185
1 A1 198
1 A1 203
1 A1 223
2 A1 225
2 P-A 001
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 16c13e46
Energy: Lightning, Water
2 A1 183
2 A1 184
2 A1 185
1 A1 225
1 A1a 056
1 A1a 068
1 A2 050
1 A2 147
1 A2 150
1 P-A 001
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 192356e3
Energy: Lightning, Water
2 A1 185
1 A2 146
1 A2 147
1 A2 155
2 A3 144
2 A3 155
2 A3b 051
1 A3b 052
1 A4 066
1 A4 071
1 A4 151
1 A4a 023
2 P-A 005
2 P-A 007

# 19ab41e5
Energy: Lightning, Water
2 A1 185
1 A2 147
2 A3 144
2 A3 155
2 A3b 051
