# 5472ee03
Energy: Lightning, Psychic
2 A1 102
2 A1 115
2 A1 116
2 A1 117
1 A1 127
1 A1 203
2 A1 206
1 A1 225
2 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 7cdfc318
Energy: Lightning, Psychic
2 A1 102
2 A1 115
2 A1 116
2 A1 117
1 A1 223
1 A1 225
1 A1a 033
2 A1a 061
1 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# b5e9088e
Energy: Lightning, Psychic
2 A1 102
2 A1 115
2 A1 116
2 A1 117
2 A1 203
2 A1 206
2 A1 225
2 P-A 002
2 P-A 005
2 P-A 007

# beed32ec
Energy: Lightning, Psychic
2 A1 102
2 A1 115
2 A1 116
2 A1 117
1 A1 225
1 A1a 033
2 A1a 061
1 P-A 001
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# f7a63b93
Energy: Lightning, Psychic
2 A1 102
2 A1 115
2 A1 116
2 A1 117
1 A1 203
2 A1 206
1 A1 225
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007
