# 36431391
Energy: Darkness
1 A1a 068
1 A2 147
2 A2 150
1 A2b 070
1 A4 120
2 A4a 059
1 B1 151
1 B1 225
2 B2b 040
2 B2b 066
1 B2b 069
2 P-A 005
1 P-A 006
2 P-A 007

# b907d15f
Energy: Darkness
1 A1 225
1 A2 148
1 A2 150
1 A2 155
1 A2b 070
1 A3 151
2 A4a 059
1 B1 151
2 B1 225
1 B2 147
2 B2b 040
2 P-A 002
2 P-A 005
2 P-A 007

# b9a8e743
Energy: Darkness
1 A1 225
1 A1a 068
1 A2 150
1 A2b 070
1 A3 142
1 A3 146
1 A3a 042
2 A4a 059
1 B1 151
1 B1 225
1 B1a 069
1 B2 145
1 B2 154
2 B2b 040
2 P-A 005
2 P-A 007

# cbdf20f7
Energy: Darkness
1 A1 087
1 A1 089
2 A2 150
1 A3 144
2 A4a 059
2 B1 151
1 B1 225
2 B2b 040
2 B2b 066
1 B2b 069
1 P-A 002
2 P-A 005
2 P-A 007

# da1de947
Energy: Darkness
1 A1 225
1 A1a 068
1 A2 150
1 A2 155
1 A2b 070
2 A3 146
1 A3a 042
2 A4a 059
1 B1 151
1 B1 225
1 B2 145
1 B2 154
2 B2b 040
2 P-A 005
2 P-A 007
