# 007ad800
Energy: Fighting, Water
1 A1 203
2 A1a 056
1 A1a 068
2 A2 121
2 A2 122
2 A2 123
2 A2 146
1 A2 147
1 A2 148
2 A2 152
2 P-A 005
2 P-A 007

# 05b2b72d
Energy: Fighting, Water
1 A1 225
2 A1a 056
1 A1a 068
2 A2 121
2 A2 122
2 A2 123
2 A2 147
1 A2 150
1 A2 152
2 A2a 072
2 P-A 005
2 P-A 007

# 0d3d8fae
Energy: Fighting, Water
2 A1a 056
2 A2 121
2 A2 122
2 A2 123
2 A2 146
1 A2 147
1 A2 150
2 A2 152
2 P-A 002
2 P-A 005
2 P-A 007

# 0e8c94ad
Energy: Fighting, Water
1 A1 225
2 A1a 056
2 A2 121
2 A2 122
2 A2 123
1 A2 146
1 A2 147
2 A2 148
1 A2 150
2 A2 152
2 P-A 005
2 P-A 007

# 13ea13f7
Energy: Fighting, Water
2 A1a 047
2 A1a 056
1 A1a 068
2 A2 121
2 A2 122
2 A2 123
1 A2 147
1 A2 148
2 A2 152
1 P-A 002
2 P-A 005
2 P-A 007

# 140aeda8
Energy: Fighting, Water
2 A1a 056
2 A1a 068
2 A2 121
2 A2 122
2 A2 123
2 A2 147
2 A2 152
2 P-A 001
2 P-A 005
2 P-A 007

# 1595a7ff
Energy: Fighting, Water
2 A1a 056
2 A1a 068
2 A2 121
2 A2 122
2 A2 123
2 A2 146
1 A2 147
1 A2 148
2 A2 152
2 P-A 005
2 P-A 007

# 17b8c1ea
Energy: Fighting, Water
2 A1a 056
1 A1a 068
2 A2 121
2 A2 122
2 A2 123
2 A2 146
1 A2 147
2 A2 148
2 A2 152
2 P-A 005
2 P-A 007

# 18035f84
Energy: Fighting, Water
1 A1 225
2 A1a 056
2 A1a 068
2 A2 121
2 A2 122
2 A2 123
1 A2 146
1 A2 147
1 A2 148
1 A2 150
2 A2 152
2 P-A 005
1 P-A 007

# 198c65ee
Energy: Fighting, Water
1 A1a 047
2 A1a 056
2 A2 121
2 A2 122
2 A2 123
1 A2 146
1 A2 147
1 A2 148
1 A2 150
2 A2 152
1 A2a 072
2 P-A 005
2 P-A 007

# 199fa09a
Energy: Fighting, Water
1 A1 225
2 A1a 056
2 A2 121
2 A2 122
2 A2 123
2 A2 146
2 A2 148
1 A2 150
2 A2 152
2 P-A 005
2 P-A 007

# 1b0bc46b
Energy: Fighting, Water
2 A1a 056
1 A1a 068
2 A2 121
2 A2 122
2 A2 123
2 A2 146
1 A2 147
2 A2 152
2 P-A 001
2 P-A 005
2 P-A 007

# 1ccd1ad0
Energy: Fighting, Water
2 A1a 056
1 A1a 068
2 A2 121
2 A2 122
2 A2 123
1 A2 146
2 A2 148
1 A2 150
1 A2a 072
1 A2a 073
1 A2b 069
2 P-A 005
2 P-A 007

# 219fc048
Energy: Fighting, Water
2 A1a 056
2 A1a 068
2 A2 121
2 A2 122
2 A2 123
1 A2 147
2 A2 148
2 A2 152
1 P-A 002
2 P-A 005
2 P-A 007

# 21f07435
Energy: Fighting, Water
1 A1 225
2 A1a 056
2 A2 121
2 A2 122
2 A2 123
2 A2 146
1 A2 147
1 A2 148
2 A2 152
1 P-A 002
2 P-A 005
2 P-A 007

# 229837c4
Energy: Fighting, Water
1 A1 225
2 A1a 056
2 A2 123
2 A2 148
2 A2 152
2 A2a 045
2 A2a 046
1 A2a 072
2 P-A 002
2 P-A 005
2 P-A 007

# 2416ac5d
Energy: Fighting, Water
2 A1a 056
2 A2 121
2 A2 122
2 A2 123
1 A2 146
1 A2 147
2 A2 148
2 A2 152
2 A3 144
2 P-A 005
2 P-A 007

# 24251189
Energy: Fighting, Water
2 A1a 056
2 A2 121
2 A2 122
2 A2 123
2 A2 146
1 A2 147
1 A2 148
2 A2 152
2 P-A 002
2 P-A 005
2 P-A 007

# 24f9f5dc
Energy: Fighting, Water
1 A1 225
2 A1a 056
1 A1a 068
1 A2 121
1 A2 122
2 A2 123
1 A2 146
2 A2 148
2 A2 152
1 A2a 045
1 A2a 046
1 A2a 072
2 P-A 005
2 P-A 007

# 250d0598
Energy: Fighting, Water
1 A1 225
2 A1a 056
1 A1a 068
2 A2 121
2 A2 122
2 A2 123
1 A2 146
2 A2 147
2 A2 152
1 P-A 001
2 P-A 005
2 P-A 007

# 251855c4
Energy: Fighting, Water
1 A1 225
2 A1a 047
2 A1a 056
1 A1a 068
2 A2 121
2 A2 122
2 A2 123
1 A2 146
1 A2 147
1 A2 152
1 P-A 002
2 P-A 005
2 P-A 007

# 26f1baab
Energy: Fighting, Water
1 A1 225
1 A1a 047
2 A1a 056
1 A1a 068
2 A2 121
2 A2 122
2 A2 123
2 A2 148
1 A2 150
2 A2 152
2 P-A 005
2 P-A 007

# 2810c047
Energy: Fighting, Water
1 A1 154
2 A1a 056
2 A1a 068
2 A2 121
2 A2 122
2 A2 123
2 A2 146
1 A2 150
2 A2 152
2 P-A 005
2 P-A 007

# 28b78732
Energy: Fire, Water
2 A1a 056
2 A2 121
2 A2 122
2 A2 123
2 A2 146
2 A2 147
2 A2 152
2 P-A 002
2 P-A 005
2 P-A 007

# 2902d027
Energy: Fighting, Water
2 A1 225
2 A1a 056
2 A2 121
2 A2 122
2 A2 123
2 A2 148
2 A2 150
2 A2 152
2 P-A 005
2 P-A 007

# 2d140c4f
Energy: Fighting, Water
2 A1a 056
2 A1a 068
2 A2 121
2 A2 122
2 A2 123
1 A2 146
1 A2 147
2 A2 152
2 A3 144
2 P-A 005
2 P-A 007

# 2dd2ffee
Energy: Fighting, Water
1 A1 225
2 A1a 056
1 A1a 068
2 A2 121
2 A2 122
2 A2 123
1 A2 146
2 A2 152
2 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 2e1fbc0e
Energy: Fighting, Water
2 A1a 056
1 A1a 068
1 A2 017
2 A2 121
2 A2 122
2 A2 123
1 A2 146
2 A2 148
1 A2 150
2 A2 152
2 P-A 005
2 P-A 007

# 2f44bd45
Energy: Fighting, Water
1 A1 225
2 A1a 056
2 A2 121
2 A2 122
2 A2 123
2 A2 146
1 A2 147
1 A2 150
2 A2 152
1 A2a 069
2 P-A 005
2 P-A 007

# 2fd464a3
Energy: Fighting, Water
2 A1a 056
2 A2 121
1 A2 122
2 A2 123
1 A2 150
2 A2 152
2 A2a 072
1 A2b 071
2 A3 144
1 A3 155
2 P-A 005
2 P-A 007

# 307c48a8
Energy: Fighting, Water
2 A1a 056
2 A2 121
2 A2 122
2 A2 123
1 A2 146
2 A2 147
1 A2 150
2 A2 152
1 A2b 069
1 A2b 072
2 P-A 005
2 P-A 007

# 32b6b597
Energy: Fighting, Water
1 A1 225
2 A1a 056
1 A1a 068
2 A2 121
2 A2 122
2 A2 123
1 A2 146
2 A2 148
2 A2 152
1 A2 155
2 P-A 005
2 P-A 007

# 37d929e7
Energy: Fighting, Water
1 A1 154
1 A1 225
1 A1a 047
2 A1a 056
1 A1a 068
2 A2 121
2 A2 122
2 A2 123
1 A2 146
1 A2 152
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 38ab9202
Energy: Fighting, Water
