# 11a4bd88
Energy: Psychic
1 A1 225
1 A2 150
1 A2b 070
2 B1 102
1 B1 120
1 B1 121
2 B1 196
1 B1 224
1 B1 225
1 B1 226
1 B1a 030
2 B1a 031
1 B1a 069
1 P-A 006
2 P-A 007
1 P-A 038

# 32cb4b82
Energy: Psychic
1 A1 225
1 A2 150
1 A2b 070
2 B1 102
1 B1 120
1 B1 121
2 B1 196
1 B1 224
1 B1 225
1 B1 226
2 B1a 030
2 B1a 031
1 B1a 069
1 P-A 006
2 P-A 007

# 43f4e494
Energy: Psychic
1 A1 225
1 A2 150
1 A3 142
2 B1 102
1 B1 109
1 B1 121
2 B1 196
1 B1 223
1 B1 224
1 B1 225
1 B1 226
2 B1a 030
2 B1a 031
1 P-A 002
1 P-A 005
1 P-A 007

# 77c24fde
Energy: Psychic
1 A1 129
1 A1 223
1 A1 225
2 A2 154
1 A2b 035
1 B1 102
1 B1 196
1 B1 223
2 B1 224
1 B1 225
2 B1a 030
2 B1a 031
2 P-A 005
2 P-A 007

# d28f8079
Energy: Psychic
2 A3 144
2 A4a 032
1 B1 102
1 B1 196
1 B1 223
1 B1 224
2 B1 225
2 B1 226
2 B1a 031
2 B1a 032
1 B1a 034
1 P-A 006
2 P-A 007

# d872a23d
Energy: Psychic
1 A1 129
1 A1 223
1 A1 225
1 A2 154
1 B1 102
1 B1 196
2 B1 224
1 B1 225
1 B1 226
2 B1a 030
2 B1a 031
1 B2 070
1 B2 153
1 B2 155
1 P-A 005
2 P-A 007

# e934c71f
Energy: Psychic
1 A1 223
1 A1 225
1 A2 150
1 A2b 070
2 A4a 032
2 B1 102
1 B1 121
2 B1 196
1 B1 197
1 B1 224
1 B1 225
1 B1 226
2 B1a 031
1 P-A 005
1 P-A 006
1 P-A 007
