# 238ee23c
Energy: Fire, Water
2 A1 087
2 A1 088
2 A1 089
1 A1 225
2 A1a 056
2 A1a 068
2 A2 124
2 A2 125
1 A2 150
2 P-A 005
2 P-A 007

# 2a0bc832
Energy: Fire, Water
2 A1 087
2 A1 088
2 A1 089
2 A1 201
1 A1 225
2 A1a 056
2 A2 125
2 A2 148
1 A2 150
2 P-A 005
2 P-A 007

# 2f24c09e
Energy: Fire, Water
2 A1 087
2 A1 088
2 A1 089
2 A1a 056
2 A1a 068
2 A2 124
2 A2 125
2 A2 150
2 P-A 005
2 P-A 007

# 32b84377
Energy: Fire, Water
2 A1 087
2 A1 088
2 A1 089
2 A1 201
2 A1 225
2 A1a 056
2 A2 125
2 A2 148
2 P-A 005
2 P-A 007

# 4098cca6
Energy: Fire, Water
2 A1 087
2 A1 088
2 A1 089
2 A1a 056
2 A1a 068
2 A2 124
2 A2 125
1 A2 146
1 A2 148
2 P-A 005
2 P-A 007

# 4a4f99e9
Energy: Fire, Water
2 A1 087
2 A1 088
2 A1 089
2 A1a 056
2 A1a 068
2 A2 124
2 A2 125
1 A2 150
1 A2a 072
2 P-A 005
2 P-A 007

# a0a60a25
Energy: Fire, Water
2 A1 087
2 A1 088
2 A1 089
2 A1a 056
2 A1a 068
2 A2 124
2 A2 125
1 A2 146
1 A2 150
2 P-A 005
2 P-A 007

# c11e0aeb
Energy: Fire, Water
1 A1 087
2 A1 088
2 A1 089
2 A1a 056
2 A1a 068
2 A2 124
2 A2 125
1 A2 146
2 A2 148
2 P-A 005
2 P-A 007

# e9c30ca7
Energy: Fire, Water
2 A1 087
2 A1 088
2 A1 089
2 A1a 056
2 A1a 068
2 A2 124
2 A2 125
1 A2 150
1 P-A 001
2 P-A 005
2 P-A 007

# f35eb5de
Energy: Fire, Water
2 A1 087
2 A1 088
2 A1 089
1 A1 203
1 A1a 056
2 A1a 068
2 A2 124
2 A2 125
1 A2 150
1 P-A 001
2 P-A 005
2 P-A 007
