# 43c11220
Energy: Fighting, Lightning
2 A1 225
1 A2 146
1 A2 150
2 A3 066
2 A3 125
1 A3 126
2 A3 127
2 A3 144
1 A3 151
2 P-A 001
2 P-A 005
2 P-A 007

# 5880cf20
Energy: Fighting, Lightning
2 A1a 047
1 A2 147
1 A2 150
1 A2 155
1 A2b 070
2 A3 066
2 A3 125
2 A3 127
2 A3 144
1 A3 155
2 P-A 005
1 P-A 006
2 P-A 007

# 681d7365
Energy: Fighting, Lightning
1 A1 225
1 A2 022
2 A2 147
1 A2b 069
2 A3 066
2 A3 125
1 A3 126
2 A3 127
2 A3 144
1 A3 155
1 P-A 002
2 P-A 005
2 P-A 007

# 833fad60
Energy: Fighting, Lightning
1 A1a 047
2 A2 146
2 A2 147
2 A3 066
2 A3 125
1 A3 126
2 A3 127
2 A3 144
1 A3 151
1 A3 155
1 P-A 002
2 P-A 005
1 P-A 006

# e72cb704
Energy: Fighting, Lightning
2 A2 147
1 A2 150
1 A2a 073
2 A2b 070
2 A3 066
2 A3 125
1 A3 126
2 A3 127
2 A3 144
1 A3 155
2 P-A 005
2 P-A 007
