# 134027df
Energy: Fire, Water
1 A1 187
2 A1 188
2 A1 198
1 A1 223
1 A1 225
2 A1a 056
2 A1a 057
1 A1a 058
2 A1a 068
2 P-A 002
2 P-A 005
2 P-A 007

# 2b0ea616
Energy: Grass
2 A1 186
2 A1 187
2 A1 188
2 A1 198
2 A1 223
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 006
2 P-A 007

# 34ab7d0a
Energy: Fire
2 A1 187
2 A1 188
2 A1 198
1 A1 205
2 A1 223
1 A1a 056
2 A1a 057
2 P-A 001
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 36aff696
Energy: Water
2 A1 186
2 A1 187
2 A1 188
2 A1 198
2 A1 203
2 A2 148
2 A2a 072
2 P-A 002
2 P-A 005
2 P-A 007

# 42b52c1c
Energy: Grass
2 A1 187
2 A1 188
2 A1 198
1 A1 225
2 A1a 057
2 A2 146
2 A2 147
1 A2 150
2 P-A 001
2 P-A 005
2 P-A 007

# 43295661
Energy: Water
2 A1 187
2 A1 188
2 A1 198
1 A1 203
1 A1 225
2 A1a 057
1 A2 148
1 A2 150
2 A2a 072
2 P-A 002
2 P-A 005
2 P-A 007

# 5927d3be
Energy: Grass
2 A1 186
2 A1 187
2 A1 188
2 A1 198
1 A1 205
2 A1 223
2 A1 225
2 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 82461059
Energy: Fighting
2 A1 154
2 A1 155
2 A1 186
2 A1 187
2 A1 188
2 A1 198
2 A1 203
2 A1a 047
2 A2 087
2 A2 143

# 87027436
Energy: Water
2 A1 186
2 A1 187
2 A1 188
2 A1 198
2 A1 223
2 A2 146
2 A2 148
2 A2a 072
2 P-A 005
2 P-A 007

# a178bc96
Energy: Water
2 A1 186
2 A1 187
2 A1 188
2 A1 198
1 A1 225
1 A2 146
1 A2 147
2 A2 148
1 A2 150
2 A2a 072
2 P-A 005
2 P-A 007

# a1e5b0b7
Energy: Fighting
1 A1 154
2 A1 188
2 A1 198
2 A1 223
2 A1a 047
2 A1a 057
2 A1a 058
1 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# c0714e1f
Energy: Fighting
2 A1 187
2 A1 188
2 A1 198
1 A1 223
1 A1 225
2 A1a 047
2 A1a 057
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# c537c6a1
Energy: Water
1 A1 186
2 A1 187
2 A1 188
2 A1 198
1 A1 203
1 A1a 057
1 A2 146
2 A2 147
1 A2 150
1 A2 155
2 A2a 072
2 P-A 005
2 P-A 007

# c57e0e04
Energy: Water
2 A1 079
2 A1 186
2 A1 187
2 A1 188
2 A1 198
1 A1 201
2 A1 223
2 A1 225
2 P-A 001
1 P-A 006
2 P-A 007

# d3156baa
Energy: Fighting
2 A1 154
2 A1 186
2 A1 187
2 A1 188
2 A1 198
2 A1 223
2 A1a 047
2 P-A 002
2 P-A 005
2 P-A 007
