# 01245181
Energy: Darkness
2 A1 164
2 A1 165
2 A1 176
2 A1 177
2 A1 225
2 A1a 068
2 A2 110
2 A2 150
2 P-A 005
2 P-A 007

# 0778d507
Energy: Darkness
2 A1 164
2 A1 165
2 A1 198
1 A1 225
2 A2 110
2 A2 147
1 A2 150
2 A2 154
2 P-A 002
2 P-A 005
2 P-A 007

# 131a6cc3
Energy: Darkness
2 A1 164
2 A1 165
1 A1 225
1 A1a 068
2 A2 104
2 A2 110
2 A2 150
2 A2 154
2 P-A 002
2 P-A 005
2 P-A 007

# 1d90b880
Energy: Darkness
2 A1 164
2 A1 165
2 A1 225
1 A1a 068
1 A2 104
2 A2 110
1 A2 147
1 A2 148
1 A2 150
1 A2 154
1 P-A 001
2 P-A 002
1 P-A 005
2 P-A 007

# 2ac6c6eb
Energy: Darkness
2 A1 164
2 A1 165
1 A1 174
1 A1 175
2 A1 176
2 A1 177
1 A1 222
1 A1a 068
2 A2 110
1 A2 150
1 P-A 002
2 P-A 005
2 P-A 007

# 2b1b580b
Energy: Darkness
2 A1 164
2 A1 165
2 A1 177
2 A1 222
2 A1 225
2 A1a 049
2 A1a 068
2 A2 110
2 P-A 005
2 P-A 007

# 38927708
Energy: Darkness
2 A1 164
2 A1 165
2 A1 176
2 A1 177
2 A1 222
2 A2 110
1 A2 147
1 A2 148
2 A2 150
2 P-A 005
2 P-A 007

# 409f81ca
Energy: Darkness
2 A1 164
2 A1 165
2 A1 176
2 A1 177
1 A1 222
1 A1 225
2 A1a 068
2 A2 110
1 A2 146
1 A2 147
2 P-A 005
2 P-A 007

# 4a9dc604
Energy: Darkness
2 A1 164
2 A1 165
2 A1a 068
2 A2 104
2 A2 110
2 A2 148
2 A2 150
2 A2 154
2 P-A 005
2 P-A 007

# 55413b24
Energy: Darkness
2 A1 164
2 A1 165
1 A1 176
2 A1 177
1 A1 222
1 A1 225
1 A1a 049
2 A1a 068
2 A2 110
2 A2 150
2 P-A 005
2 P-A 007

# 58952c06
Energy: Darkness
2 A1 164
2 A1 165
2 A1 176
2 A1 177
2 A2 110
2 A2 150
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 60635fc6
Energy: Darkness
2 A1 164
2 A1 165
1 A1 176
2 A1 177
2 A1 225
1 A1a 049
2 A1a 068
2 A2 110
2 A2 150
2 P-A 005
2 P-A 007

# 6eb30cbb
Energy: Darkness
2 A1 164
2 A1 165
2 A1 198
2 A1 225
1 A1a 068
2 A2 110
1 A2 150
2 A2 154
2 P-A 002
2 P-A 005
2 P-A 007

# 761148aa
Energy: Darkness
2 A1 164
2 A1 165
2 A1 198
1 A2 104
2 A2 110
1 A2 147
2 A2 148
1 A2 150
1 A2 154
2 P-A 002
2 P-A 005
2 P-A 007

# 7bb90c1e
Energy: Darkness
2 A1 164
2 A1 165
1 A1 225
2 A1a 068
2 A2 110
1 A2 147
2 A2 148
1 A2 150
1 A2b 071
1 A2b 072
2 P-A 005
1 P-A 006
2 P-A 007

# 92f50dc6
Energy: Darkness
2 A1 164
2 A1 165
2 A1 176
2 A1 177
2 A1 222
1 A1 223
1 A1 225
2 A1a 068
2 A2 110
2 P-A 005
2 P-A 007

# 9d62fa82
Energy: Darkness
1 A1 164
1 A1 165
1 A1 176
1 A1 177
1 A1 222
1 A1 223
1 A1 225
1 A2 110
2 A2 147
1 A2 150
1 A2 154
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# a5ac62af
Energy: Darkness
1 A1 164
2 A1 165
1 A1 176
2 A1 177
1 A1 222
1 A1 225
1 A2 110
2 A2 146
1 A2 147
1 A2 150
1 A2 154
2 P-A 001
2 P-A 005
2 P-A 007

# a72fed1a
Energy: Darkness
2 A1 164
2 A1 165
1 A1 173
1 A1 225
1 A2 109
2 A2 110
2 A2 148
1 A2a 048
1 A2a 050
1 A2a 071
2 P-A 001
2 P-A 005
2 P-A 007

# aabdff12
Energy: Darkness
2 A1 164
2 A1 165
1 A1 177
1 A1 222
2 A1 225
2 A1a 049
2 A1a 068
2 A2 110
2 A2 147
2 P-A 005
2 P-A 007

# b2be5096
Energy: Darkness
2 A1 164
2 A1 165
1 A1 176
2 A1 177
2 A1 222
1 A1a 049
2 A1a 068
2 A2 110
1 A2 150
