# 168302bb
Energy: Fighting, Water
1 A1 225
1 A1a 046
2 A1a 056
1 A1a 063
2 A2 121
2 A2 122
2 A2 123
2 A2 146
1 A2 147
2 A2 152
1 P-A 002
1 P-A 005
2 P-A 007

# 1aa37730
Energy: Fighting, Water
2 A1 198
1 A1 225
1 A1a 046
1 A1a 063
2 A2 121
2 A2 122
2 A2 123
1 A2 146
1 A2 147
2 A2 152
1 P-A 002
2 P-A 005
2 P-A 007

# 1f3d74ee
Energy: Fighting, Water
1 A1 204
1 A1 225
1 A1a 046
1 A1a 063
2 A2 121
2 A2 122
2 A2 123
2 A2 146
2 A2 147
1 A2 150
2 A2 152
1 P-A 005
2 P-A 007

# 219236bb
Energy: Fighting, Water
1 A1a 046
1 A1a 063
1 A2 022
1 A2 104
2 A2 121
2 A2 122
2 A2 123
1 A2 146
1 A2 147
1 A2 150
2 A2 152
1 P-A 002
2 P-A 005
2 P-A 007

# 2a108e83
Energy: Fighting, Water
1 A1 225
1 A1a 046
1 A1a 063
1 A2 022
1 A2 104
2 A2 121
2 A2 122
2 A2 123
1 A2 146
1 A2 147
1 A2 150
2 A2 152
2 P-A 005
2 P-A 007

# 2e8f0538
Energy: Fighting, Water
1 A1a 046
2 A1a 047
1 A1a 063
1 A1a 068
1 A2 049
2 A2 121
2 A2 122
1 A2 123
1 A2 147
1 A2 148
1 A2 150
1 A2 152
1 A2 154
2 P-A 005
2 P-A 007

# 2f3f5459
Energy: Fighting, Water
1 A1 225
1 A1a 046
2 A1a 056
1 A1a 063
2 A2 121
2 A2 122
2 A2 123
1 A2 146
1 A2 147
2 A2 152
1 P-A 002
2 P-A 005
2 P-A 007

# 651f7397
Energy: Fighting, Water
2 A1 196
1 A1a 046
1 A1a 063
2 A2 121
2 A2 122
2 A2 123
2 A2 146
2 A2 147
1 A2 150
2 A2 152
1 P-A 005
2 P-A 007

# 72106786
Energy: Fighting, Water
1 A1a 046
1 A1a 063
2 A2 104
2 A2 121
2 A2 122
2 A2 123
1 A2 146
1 A2 147
2 A2 150
2 A2 152
2 P-A 005
2 P-A 007

# b584a175
Energy: Fighting, Water
2 A1 203
1 A1 225
1 A1a 046
1 A1a 063
2 A2 121
2 A2 122
2 A2 123
1 A2 146
1 A2 148
1 A2 150
2 A2 152
2 P-A 005
2 P-A 007

# fdd4b40e
Energy: Fighting, Water
1 A1a 046
1 A1a 063
2 A2 121
2 A2 122
2 A2 123
2 A2 146
2 A2 147
1 A2 150
2 A2 152
1 A2 154
1 P-A 002
1 P-A 006
2 P-A 007
