# 1975de60
Energy: Fighting, Water
1 A1 225
2 A1a 047
2 A2 038
2 A2 104
1 A2 146
2 A2 148
2 A2 150
1 A2b 072
1 A3 142
2 P-A 005
2 P-A 007
2 P-A 053

# 319e2192
Energy: Water
1 A1 223
1 A1 225
1 A2 022
2 A2 104
2 A2 147
2 A2 150
1 A2 155
2 A2a 072
2 A2b 016
2 P-A 005
2 P-A 007
2 P-A 053

# 691c9cff
Energy: Water
1 A1 091
2 A2 038
2 A2 104
1 A2 147
2 A2 148
2 A2 150
2 A2a 072
2 P-A 002
2 P-A 005
2 P-A 007
2 P-A 053

# 8a9623d8
Energy: Water
1 A1 091
2 A2 038
2 A2 104
2 A2 147
2 A2 150
2 A2a 072
1 A3 151
1 A4 158
2 P-A 005
1 P-A 006
2 P-A 007
2 P-A 053

# 8ef15574
Energy: Water
2 A1 091
2 A1 223
1 A2 038
2 A2 104
2 A2 147
2 A2 148
2 A2 150
2 A2a 072
2 P-A 005
2 P-A 007
1 P-A 053
