# 192ecd6f
Energy: Fire, Lightning
2 A1 098
1 A1 223
1 A1 225
2 A2 051
2 A2 053
1 A2 150
1 A2 155
1 A2b 071
2 A3 037
2 A3 150
1 A3 151
2 P-A 005
2 P-A 007

# 277b9e87
Energy: Fire
2 A1 098
1 A1 225
2 A2 051
2 A2 053
2 A2 147
1 A2 150
1 A2 155
1 A2b 069
2 A3 037
2 A3 150
2 P-A 005
2 P-A 007

# 2b132fa3
Energy: Fire
2 A1 097
2 A1 098
2 A2 053
1 A2 146
1 A2 147
1 A2 150
1 A2 155
2 A3 037
1 A3 142
2 A3 150
1 A3 155
2 P-A 005
2 P-A 007

# 415d6790
Energy: Fire
2 A1 098
1 A1 225
2 A2 051
1 A2 053
2 A2 147
1 A2 150
2 A3 037
2 A3 150
1 B1 225
1 B1a 026
1 B1a 068
2 P-A 005
2 P-A 007

# 5f265971
Energy: Fire
2 A1 098
1 A1 225
1 A1a 068
2 A2 051
2 A2 053
2 A2 146
2 A2 147
2 A3 037
2 A3 150
2 P-A 005
2 P-A 007

# 67cd6646
Energy: Fire
2 A1 098
2 A2 051
2 A2 053
1 A2 146
2 A2 147
1 A2 150
1 A2b 069
1 A2b 071
2 A3 037
2 A3 150
2 P-A 005
2 P-A 007

# 69b4235e
Energy: Fire
2 A1 098
1 A1 225
2 A2 051
2 A2 053
1 A2 146
1 A2 150
1 A2b 069
2 A3 037
2 A3 150
2 A3 151
2 P-A 005
2 P-A 007

# 84323abe
Energy: Fire
2 A1 098
1 A1 225
2 A2 051
2 A2 053
1 A2 146
2 A2 147
2 A3 037
2 A3 150
1 A3 155
2 P-A 005
1 P-A 006
2 P-A 007

# c1e38223
Energy: Fire
2 A1 098
2 A2 051
2 A2 053
2 A2 147
2 A2 150
2 A2 154
2 A3 037
2 A3 150
2 P-A 005
2 P-A 007

# d63e799b
Energy: Fire
2 A1 098
2 A2 051
2 A2 053
1 A2 146
1 A2 147
1 A2 154
1 A2b 069
2 A3 037
2 A3 150
1 A3 151
2 P-A 005
1 P-A 006
2 P-A 007

# d7b04541
Energy: Fire
2 A1 098
2 A2 051
2 A2 053
2 A2 147
1 A2 150
1 A2b 071
2 A3 037
2 A3 150
1 A3 151
2 P-A 005
1 P-A 006
2 P-A 007

# dc807f56
Energy: Fire
2 A1 097
2 A1 098
2 A2 053
1 A2 146
1 A2 147
1 A2 154
2 A3 037
1 A3 144
2 A3 150
1 A3 155
2 P-A 005
1 P-A 006
2 P-A 007

# dd8c8e2b
Energy: Fire
2 A1 098
1 A1 225
2 A2 051
2 A2 053
1 A2 147
1 A2 150
1 A2 155
1 A2b 069
1 A2b 070
2 A3 037
2 A3 150
2 P-A 005
2 P-A 007
