# 0529ce28
Energy: Fighting, Grass
2 A2 150
2 A3 144
1 A3 155
2 B1 225
2 B2 124
1 B2a 093
2 B3 076
1 B3 125
2 B3 126
1 P-A 002
2 P-A 005
2 P-A 007

# 260d6c91
Energy: Fighting, Grass
2 A2 148
1 A2 150
1 A2b 071
2 A3 144
1 B1 225
2 B2 124
2 B2 145
1 B2 147
2 B3 076
2 B3 126
2 P-A 005
2 P-A 007

# 28febdde
Energy: Fighting, Grass
1 A1 225
2 A2 150
2 A3 144
1 B1 225
2 B2 124
1 B2a 093
2 B3 076
2 B3 126
1 B3 149
1 B3 150
1 B3 155
2 P-A 005
2 P-A 007

# 388237fe
Energy: Fighting, Grass
2 A2 150
2 A3 144
1 A3 155
1 A4 054
1 B1 225
2 B2 124
2 B3 076
1 B3 125
2 B3 126
2 P-A 002
2 P-A 005
2 P-A 007

# 39511fee
Energy: Fighting, Grass
1 A2 148
1 A2 150
2 A3 144
1 A3 155
2 B1 225
2 B2 124
2 B2 147
2 B3 076
2 B3 126
1 P-A 002
2 P-A 005
2 P-A 007

# 5524e640
Energy: Fighting, Grass
1 A1 225
2 A2 150
2 A3 144
2 B1 225
2 B2 124
1 B2b 069
2 B3 076
2 B3 126
1 B3 148
1 P-A 002
2 P-A 005
2 P-A 007

# 7ffd0596
Energy: Fighting, Grass
2 A2 150
2 A3 144
2 B1 225
2 B2 124
1 B2 147
1 B2b 069
2 B3 076
1 B3 125
2 B3 126
1 P-A 002
2 P-A 005
2 P-A 007

# 802c6374
Energy: Fighting, Grass
2 A2 150
1 A2b 070
2 A3 144
1 B1 225
2 B2 124
1 B2 145
2 B2 147
2 B3 076
2 B3 126
1 B3 147
2 P-A 005
2 P-A 007

# a4fdac42
Energy: Fighting, Grass
1 A2 147
2 A2 150
2 A3 144
1 A3 155
2 B1 225
2 B2 124
2 B3 076
1 B3 125
2 B3 126
1 P-A 002
2 P-A 005
2 P-A 007

# c62fdde6
Energy: Fighting, Grass
1 A2 150
2 A3 144
1 A3 155
2 B1 225
2 B2 124
2 B2 145
2 B3 076
1 B3 125
2 B3 126
1 P-A 002
2 P-A 005
2 P-A 007

# e73120c1
Energy: Fighting, Grass
1 A1 225
1 A2 150
2 A3 144
1 A3 155
1 B1 223
1 B1 225
2 B2 124
2 B2 145
2 B3 076
1 B3 125
2 B3 126
2 P-A 005
2 P-A 007
