# 03c16ca7
Energy: Darkness
1 A1 225
1 A1a 068
2 A2 110
1 A2 147
1 A2 150
1 A2b 070
2 B1a 026
2 B3 052
2 B3 053
1 B3 147
2 P-A 002
2 P-A 005
2 P-A 007

# 0ca1ce19
Energy: Darkness
2 A1 098
2 A2 110
1 A2 147
1 A2 150
1 A3 151
1 B1 109
1 B1 225
1 B1 226
2 B1a 024
2 B1a 026
1 B1a 068
2 P-A 005
1 P-A 006
2 P-A 007

# 18d81003
Energy: Lightning
2 A1 098
1 A1 225
2 A2 110
2 A2 147
1 A2 150
2 A2b 070
2 B1 109
2 B1a 024
2 B1a 026
2 P-A 005
2 P-A 007

# 1d7db0a6
Energy: Darkness
2 A1 098
2 A2 110
1 A2 147
1 A2 150
1 A4 101
1 B1 109
1 B1 225
2 B1 226
2 B1a 024
2 B1a 026
1 B1a 068
1 P-A 005
1 P-A 006
2 P-A 007

# 2bfb5f54
Energy: Darkness
2 A1 098
1 A1a 068
2 A2 051
2 A2 110
1 A2 146
2 A2 148
1 A2 150
2 A4 101
2 B1a 026
1 B1a 068
2 P-A 005
2 P-A 007

# 2ca795ca
Energy: Darkness
2 A1 098
1 A1 225
2 A2 110
2 A2 148
1 A2 150
1 A2b 070
1 B1 121
1 B1 225
2 B1a 024
2 B1a 026
2 P-A 005
1 P-A 006
2 P-A 007

# 3b34df2d
Energy: Darkness
2 A1 098
1 A1 225
2 A2 110
1 A2 148
1 A2 150
1 B1 109
1 B1 121
1 B1 225
1 B1 226
2 B1a 024
2 B1a 026
2 P-A 005
1 P-A 006
2 P-A 007

# 50313e8d
Energy: Darkness
1 A1 098
1 A1a 068
1 A2 051
2 A2 110
1 A2 150
1 A2 154
2 A3 066
1 A3 151
1 A4 066
1 A4 151
1 B1 223
1 B1 225
1 B1a 026
2 P-A 005
1 P-A 006
2 P-A 007

# 58b0fd21
Energy: Darkness
2 A1 098
1 A1a 068
2 A2 110
2 A2 148
1 A2 150
1 A2 155
2 A4 101
1 B1 226
2 B1a 024
2 B1a 026
1 B1a 068
1 P-A 005
2 P-A 007

# 8beff963
Energy: Darkness
2 A1 098
1 A1 225
2 A2 110
1 A2 148
1 A2 150
1 A2b 070
1 A4 101
1 B1 225
2 B1a 024
2 B1a 026
1 B1a 068
2 P-A 005
1 P-A 006
2 P-A 007

# 9ece37e5
Energy: Darkness
1 A1 097
2 A1 098
1 A1 225
2 A2 110
1 A2 150
1 A2 155
2 B1 109
1 B1 225
1 B1 226
1 B1a 024
2 B1a 026
1 B1a 068
2 P-A 005
2 P-A 007

# a8aa27dc
Energy: Darkness
2 A1 098
1 A1 225
2 A2 110
1 A2 148
1 A2 150
2 B1 109
1 B1 225
1 B1 226
2 B1a 024
2 B1a 026
1 B1a 068
2 P-A 005
2 P-A 007

# c2820c1c
Energy: Darkness
2 A1 098
1 A1a 068
2 A2 110
1 A2 147
1 A2 150
1 B1 151
1 B1 225
1 B1 226
2 B1a 024
2 B1a 026
1 B1a 068
1 B1a 069
1 B2 145
1 P-A 005
2 P-A 007

# c2a3efc7
Energy: Darkness, Lightning
1 A1 225
1 A1a 068
2 A2 110
1 A2 147
1 A2 150
1 A2b 070
2 B1a 026
2 B3 052
2 B3 053
1 B3 147
2 P-A 002
2 P-A 005
2 P-A 007

# c51bab23
Energy: Darkness
2 A1 098
1 A1 225
2 A2 110
1 A2 150
1 A2 155
2 B1 109
1 B1 225
1 B1 226
2 B1a 024
2 B1a 026
1 B1a 068
1 P-A 005
1 P-A 006
2 P-A 007

# e9097c28
Energy: Darkness
2 A1 098
1 A1 225
2 A2 110
1 A2 150
1 A4 101
1 B1 109
1 B1 225
1 B1 226
2 B1a 024
2 B1a 026
1 B1a 068
2 P-A 005
1 P-A 006
2 P-A 007

# fab23bed
Energy: Darkness
2 A1 098
1 A1 225
2 A2 110
1 A2 150
1 A2b 070
2 A4 101
1 B1 225
2 B1a 024
2 B1a 026
1 B1a 068
2 P-A 005
1 P-A 006
2 P-A 007

# fded15fc
Energy: Darkness
2 A1 098
1 A1a 068
2 A2 051
2 A2 110
2 A2 148
1 A2 150
1 A2 155
2 A4 101
2 B1a 026
1 B1a 068
2 P-A 005
2 P-A 007

# fe7cdb4d
Energy: Darkness
2 A1 098
1 A1 225
2 A2 110
2 A2 148
1 A2 150
1 A2b 035
1 B1 109
1 B1 225
2 B1a 024
2 B1a 026
2 P-A 005
1 P-A 006
2 P-A 007
