# 0378ab36
Energy: Fire, Water
1 A1 225
1 A1a 056
2 A1a 068
1 A2 147
2 A3 149
1 A3b 057
1 A4 032
2 A4 034
1 A4 066
1 A4 149
2 A4 151
1 A4 158
2 P-A 005
2 P-A 007

# 0592f977
Energy: Fire, Lightning, Water
1 A1 211
1 A1 225
1 A1a 068
1 A2 147
1 A2 150
2 A2b 070
1 A2b 071
2 A3 149
1 A3 151
1 A3b 057
2 A4 034
1 A4 149
2 P-A 005
1 P-A 006
2 P-A 007

# 0f861bc8
Energy: Darkness
1 A1 225
2 A1a 068
1 A2 110
1 A2 147
2 A2 148
2 A2b 070
2 A3 149
1 A3b 057
2 A4 034
1 A4 149
2 P-A 005
1 P-A 006
2 P-A 007

# 185b7dba
Energy: Grass
1 A1 211
1 A1 225
1 A1a 003
1 A1a 068
1 A2 147
1 A2 150
1 A2 155
1 A2b 070
2 A3 149
1 A3 151
1 A3b 057
1 A4 032
2 A4 034
1 A4 149
2 P-A 005
2 P-A 007

# 188f7410
Energy: Water
1 A1 225
1 A2 143
1 A2 147
1 A2 150
1 A2a 072
2 A2b 070
2 A3 149
1 A3 151
1 A3b 057
2 A4 032
2 A4 034
2 P-A 005
1 P-A 006
2 P-A 007

# 1c7884ae
Energy: Grass
1 A1 211
1 A2 150
1 A2 155
1 A2b 070
2 A3 149
1 A3b 057
2 A4 034
1 B1 225
1 B2 017
2 B2 145
1 B2 154
1 B3 147
1 B3a 068
2 P-A 005
2 P-A 007

# 29eb6669
Energy: Fire, Water
1 A1a 056
1 A2 147
1 A2 150
1 A2b 070
1 A3 149
1 A3 151
1 A3a 064
1 A3b 057
1 A4 032
2 A4 034
1 A4 149
2 A4 151
1 A4a 023
2 P-A 005
1 P-A 006
2 P-A 007

# 2c25b80f
Energy: Fire, Lightning, Water
1 A1 211
1 A1 225
1 A1a 068
1 A2 147
1 A2 148
1 A2 150
1 A2 155
1 A2b 070
1 A3 149
1 A3b 057
2 A4 034
1 A4 149
1 A4 151
1 A4 157
2 P-A 005
1 P-A 006
2 P-A 007

# 4cae072b
Energy: Fire, Lightning, Water
1 A1a 068
1 A2 147
1 A2a 072
1 A2b 071
1 A3 149
2 A3a 021
1 A3b 057
1 A4 032
2 A4 034
1 A4 149
2 A4 151
2 A4a 023
2 P-A 005
2 P-A 007

# 56d00bbb
Energy: Fire, Lightning, Water
1 A1 225
1 A1a 068
1 A2 143
1 A2 147
1 A2 148
1 A2 150
1 A2 155
1 A2b 070
1 A3 149
1 A3b 057
2 A4 034
1 A4 149
1 A4 151
1 A4 157
2 P-A 005
1 P-A 006
2 P-A 007

# 6b58a833
