# 2c58183f
Energy: Darkness, Psychic
2 A1 120
2 A1 121
2 A1 123
2 A1 176
2 A1 177
2 A1 222
2 P-A 001
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 9e2a6ede
Energy: Darkness, Psychic
2 A1 120
2 A1 121
2 A1 123
2 A1 176
2 A1 177
2 A1 222
1 A1 225
1 P-A 001
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# d09b360d
Energy: Darkness
1 A1 120
1 A1 121
1 A1 123
1 A1 164
1 A1 165
1 A1 174
1 A1 175
1 A1 176
2 A1 177
1 A1 222
2 A1 223
1 A1 225
2 P-A 001
2 P-A 005
2 P-A 007

# ebcd3737
Energy: Darkness, Psychic
2 A1 120
2 A1 121
2 A1 123
2 A1 176
2 A1 177
2 A1 222
2 A1 225
2 P-A 001
2 P-A 005
2 P-A 007

# ec297943
Energy: Darkness, Psychic
2 A1 120
2 A1 121
2 A1 123
2 A1 176
2 A1 177
2 A1 222
2 A1 225
2 P-A 005
2 P-A 006
2 P-A 007

# f76cce29
Energy: Darkness, Psychic
2 A1 120
2 A1 121
2 A1 123
2 A1 176
2 A1 177
2 A1 222
2 A1 223
2 A1 225
2 P-A 005
2 P-A 007
