# 539d1362
Energy: Fire, Water
1 A1 203
1 A1 225
1 A1a 056
2 A2 132
2 A2 133
2 A2 134
1 A2 147
1 A2 148
1 A2 150
2 A2a 072
2 A2a 074
2 P-A 005
2 P-A 007

# 9477ca3b
Energy: Water
1 A1a 068
2 A2 132
2 A2 134
2 A2 146
1 A2 148
1 A2a 063
2 A2a 067
2 A2a 072
2 A2a 074
1 P-A 002
2 P-A 005
2 P-A 007

# e4ea7178
Energy: Water
1 A1 203
2 A2 132
1 A2 133
1 A2 134
1 A2 146
2 A2 147
1 A2 148
1 A2 150
1 A2a 067
1 A2a 068
2 A2a 072
2 P-A 001
2 P-A 005
2 P-A 007

# f91ec199
Energy: Water
1 A1 198
1 A1 203
1 A1 225
1 A2 132
2 A2 134
1 A2 146
2 A2 148
1 A2 150
1 A2a 066
2 A2a 067
2 A2a 072
1 P-A 002
2 P-A 005
2 P-A 007
