# 0b878371
Energy: Darkness, Water
2 A1 087
2 A1 088
1 A1 089
1 A1 164
1 A1 165
1 A1 176
1 A1 177
1 A1 196
1 A1 220
2 P-A 001
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 1161d154
Energy: Darkness, Water
2 A1 087
2 A1 088
2 A1 089
2 A1 164
2 A1 165
2 A1 203
1 A1 223
1 A1 225
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 1cf32d4d
Energy: Darkness, Lightning
2 A1 087
2 A1 088
2 A1 089
2 A1 102
2 A1 164
2 A1 165
1 A1 203
2 A1 206
1 A1 225
2 P-A 005
2 P-A 007

# 2126af8f
Energy: Darkness, Water
2 A1 087
2 A1 088
2 A1 089
2 A1 164
2 A1 165
1 A1 203
1 A1 223
1 A1 225
1 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 3bbb8837
Energy: Darkness
2 A1 087
2 A1 088
2 A1 089
1 A1 128
2 A1 164
2 A1 165
2 A1 225
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 4cd997fb
Energy: Darkness
2 A1 087
2 A1 088
2 A1 089
1 A1 128
2 A1 164
2 A1 165
1 A1 203
2 A1 225
2 P-A 002
2 P-A 005
2 P-A 007

# 4d604e0b
Energy: Darkness, Water
2 A1 087
2 A1 088
2 A1 089
2 A1 164
2 A1 165
2 A1 225
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 708db504
Energy: Darkness
2 A1 087
2 A1 088
2 A1 089
2 A1 164
2 A1 165
2 A1 176
2 A1 177
1 A1 225
1 P-A 002
2 P-A 005
2 P-A 007

# 8b1c444e
Energy: Darkness, Water
2 A1 087
2 A1 088
2 A1 089
2 A1 164
2 A1 165
2 A1 203
2 A1 225
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 9b524059
Energy: Darkness, Water
2 A1 087
2 A1 088
2 A1 089
2 A1 164
2 A1 165
2 A1 203
2 A1 225
2 P-A 002
2 P-A 005
2 P-A 007

# 9f8e0b00
Energy: Darkness
2 A1 087
2 A1 088
2 A1 089
2 A1 128
2 A1 164
2 A1 165
2 A1 225
2 P-A 002
2 P-A 005
2 P-A 007

# b000face
Energy: Darkness
2 A1 087
2 A1 088
2 A1 089
1 A1 164
1 A1 165
1 A1 210
1 A1 218
1 A1 223
2 A1 225
2 P-A 001
2 P-A 002
1 P-A 005
2 P-A 007

# c21d55a2
Energy: Darkness, Water
2 A1 087
2 A1 088
2 A1 089
1 A1 160
1 A1 161
2 A1 164
2 A1 165
2 A1 225
2 P-A 002
2 P-A 005
2 P-A 007

# ef59c38b
Energy: Darkness, Water
2 A1 087
2 A1 088
2 A1 089
2 A1 164
2 A1 165
1 A1 223
1 A1 225
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007
