# 52de8a91
Energy: Lightning
2 A1 098
1 A1 225
1 A2 147
1 A2 150
2 A3 066
2 B1 225
1 B1 226
2 B1a 024
1 B1a 068
2 B3 054
1 P-A 002
2 P-A 005
2 P-A 007

# c430dede
Energy: Lightning
2 A1 098
1 A1 099
1 A1 225
2 A2 147
1 A2 150
1 A2b 070
2 A3 066
1 A3 151
1 B1 225
1 B1 226
2 B1a 024
1 B1a 068
1 B3 054
1 P-A 005
2 P-A 007

# f78db342
Energy: Lightning
2 A1 098
1 A1 225
2 A2b 070
2 A3 066
1 A4 151
1 B1 225
1 B1 226
2 B1a 024
1 B1a 068
2 B3 054
1 B3 147
2 P-A 005
2 P-A 007

# fe88a98d
Energy: Lightning
2 A1 098
1 A2 148
1 A2 150
2 A3 066
1 A3 155
2 B1 225
1 B1 226
2 B1a 024
1 B1a 068
1 B2 145
2 B3 054
2 P-A 005
2 P-A 007
