# 135fe57d
Energy: Fire, Water
2 A1 223
1 A1 225
2 A1a 056
2 A1a 057
2 A1a 058
2 A1a 059
2 A1a 060
2 A1a 068
1 P-A 002
2 P-A 005
2 P-A 007

# 683184ee
Energy: Fire, Water
2 A1 186
2 A1 187
2 A1 223
2 A1 225
2 A1a 056
2 A1a 059
2 A1a 060
2 A1a 068
2 P-A 005
2 P-A 007

# a0bea960
Energy: Fire, Water
2 A1 186
2 A1 187
2 A1 223
1 A1 225
2 A1a 056
2 A1a 059
2 A1a 060
2 A1a 068
1 P-A 001
2 P-A 005
2 P-A 007

# b6220382
Energy: Fire, Water
2 A1 187
2 A1 223
1 A1 225
2 A1a 056
2 A1a 057
2 A1a 059
2 A1a 060
2 A1a 068
1 P-A 002
2 P-A 005
2 P-A 007
