# 1210c0b0
Energy: Fighting, Water
1 A1 225
2 A1a 047
1 A2 121
2 A2 122
2 A2 123
2 A2 146
2 A2 147
1 A2 150
2 A2 152
1 A2a 045
2 P-A 005
2 P-A 007

# 43efa8f1
Energy: Fighting, Water
2 A1a 047
1 A2 104
2 A2 121
2 A2 122
2 A2 123
1 A2 146
2 A2 147
1 A2 150
2 A2 152
1 P-A 002
2 P-A 005
2 P-A 007

# 603c9cc0
Energy: Fighting, Water
2 A1a 047
2 A2 121
2 A2 122
2 A2 123
2 A2 150
2 A2 152
2 A2a 072
2 P-A 002
2 P-A 005
2 P-A 007

# 8c0af1e4
Energy: Fighting, Water
1 A1 205
1 A1 225
2 A1a 047
2 A2 121
2 A2 122
2 A2 123
2 A2 146
1 A2 147
1 A2 152
1 A2a 072
1 A2b 069
2 P-A 005
2 P-A 007

# 8e12c058
Energy: Fighting, Water
1 A1 198
2 A1a 047
2 A2 121
2 A2 122
2 A2 123
2 A2 146
1 A2 147
1 A2 148
1 A2 150
2 A2 152
2 P-A 005
2 P-A 007

# c9e07ce4
Energy: Fighting, Water
2 A1a 047
2 A2 121
2 A2 122
2 A2 123
2 A2 146
2 A2 148
2 A2 152
2 A2a 072
2 P-A 005
2 P-A 007

# fdd48623
Energy: Fighting, Water
2 A1a 047
2 A2 121
2 A2 122
2 A2 123
2 A2 146
2 A2 147
2 A2 152
1 A2a 072
1 P-A 001
2 P-A 005
2 P-A 007
