# 1a7ca0d6
Energy: Fighting, Grass
1 A2 148
2 A2 150
1 A2b 070
2 A3 144
2 B1 225
1 B2 155
2 B3 076
2 B3 126
1 B3a 027
1 B3a 030
1 B3a 074
2 P-A 005
2 P-A 007

# 3acba568
Energy: Fighting, Grass
2 A2 150
2 A3 144
2 B1 225
1 B2 147
1 B2 155
2 B3 076
2 B3 126
2 B3a 027
2 B3a 030
1 B3a 074
2 P-A 005
1 P-A 007

# 3c83a10c
Energy: Fighting, Grass
2 A2 150
1 A2b 070
2 A3 144
1 B1 225
1 B2 147
1 B2 155
2 B3 076
1 B3 125
2 B3 126
1 B3a 027
1 B3a 030
1 B3a 074
2 P-A 005
2 P-A 007

# 5194d7fe
Energy: Psychic
2 A2 150
2 A3 144
2 B1 225
1 B2 147
2 B2 155
2 B3 076
2 B3 126
2 B3a 027
2 B3a 030
1 P-A 005
2 P-A 007

# 87e77792
Energy: Fighting, Grass
1 A2 148
2 A2 150
1 A2b 070
2 A3 144
1 B1 225
1 B2 147
1 B2 155
2 B3 076
2 B3 126
1 B3a 027
1 B3a 030
1 B3a 074
2 P-A 005
2 P-A 007

# 90cba7a7
Energy: Fighting, Grass
2 A2 150
1 A2b 070
2 A3 144
2 B1 225
1 B2 147
1 B2 155
2 B3 076
2 B3 126
1 B3a 027
1 B3a 030
1 B3a 074
2 P-A 005
2 P-A 007

# 98cfc99c
Energy: Fighting, Grass
1 A2 148
1 A2 150
1 A2b 070
2 A3 144
2 B1 225
1 B2 147
1 B2 155
2 B3 076
2 B3 126
1 B3a 027
1 B3a 030
1 B3a 074
2 P-A 005
2 P-A 007

# ab2b22a1
Energy: Fighting, Grass
2 A2 150
2 A3 144
2 B1 225
1 B2 147
2 B2 155
2 B3 076
2 B3 126
2 B3a 027
2 B3a 030
2 P-A 005
1 P-A 007

# ecdbd5c6
Energy: Fighting, Grass
1 A2 148
2 A2 150
1 A2b 070
2 A3 144
2 B1 225
1 B2 155
1 B2a 093
2 B3 076
2 B3 126
1 B3a 027
1 B3a 030
2 P-A 005
2 P-A 007
