# 3a0bbc32
Energy: Fighting, Grass
1 A1 225
1 A2 150
2 A3 144
2 A4a 059
1 B1 223
1 B1 225
2 B2b 040
2 B3 076
2 B3 126
1 B3 147
1 P-A 002
2 P-A 005
2 P-A 007

# 3b9eec0d
Energy: Fighting, Grass
2 A2 150
1 A2b 070
2 A3 144
1 A3 155
2 A4a 059
2 B2 145
2 B2b 040
2 B3 076
2 B3 126
2 P-A 005
2 P-A 007

# 520afe9e
Energy: Fighting, Grass
1 A2 147
1 A2 150
2 A3 144
1 A3 155
2 A4a 059
2 B1 225
2 B2b 040
2 B3 076
2 B3 126
1 B3 148
2 P-A 005
2 P-A 007

# 5f92889c
Energy: Fighting, Grass
1 A1a 068
1 A2 150
2 A3 144
2 A4a 059
2 B1 225
1 B2 145
1 B2a 093
2 B2b 040
2 B3 076
2 B3 126
2 P-A 005
2 P-A 007

# 8afb0814
Energy: Fighting, Grass
1 A2 148
1 A2 150
2 A3 144
2 A4a 059
2 B1 225
2 B2b 040
2 B3 076
2 B3 126
2 P-A 002
2 P-A 005
2 P-A 007

# 8b73d376
Energy: Fighting, Grass
2 A2 150
2 A3 144
1 A3 155
2 A4a 059
1 B1 223
1 B1 225
1 B2 145
1 B2b 040
1 B2b 069
2 B3 076
2 B3 126
2 P-A 005
2 P-A 007

# 9b448c47
Energy: Fighting, Grass
1 A1a 068
2 A2 150
2 A3 144
2 A4a 059
2 B1 225
2 B2b 040
2 B3 076
1 B3 125
2 B3 126
2 P-A 005
2 P-A 007

# ce9bae15
Energy: Fighting, Grass
1 A1a 068
1 A2 150
2 A3 144
2 A4a 059
2 B1 225
2 B2b 040
2 B3 076
2 B3 126
1 B3 147
1 P-A 002
2 P-A 005
2 P-A 007

# e55033c5
Energy: Fighting, Grass
1 A1a 068
1 A2 147
1 A2 150
2 A3 144
1 A3 155
2 A4a 059
1 B2 145
2 B2b 040
2 B3 076
1 B3 125
2 B3 126
2 P-A 005
2 P-A 007

# e83b65de
Energy: Fighting, Grass
2 A2 150
2 A3 144
1 A3 155
2 A4a 059
1 B1 223
1 B1 225
1 B2 145
2 B2b 040
2 B3 076
2 B3 126
2 P-A 005
2 P-A 007

# ec3227d9
Energy: Fighting, Grass
1 A1 225
1 A1a 068
1 A2 150
2 A3 144
2 A4a 059
1 B1 223
1 B1 225
2 B2b 040
2 B3 076
2 B3 126
1 B3 147
2 P-A 005
2 P-A 007
