# 0e3c63ad
Energy: Metal
2 A1 181
2 A1 182
1 A1 223
1 A1 225
2 A2 111
1 A2 119
1 A2 146
2 A2 147
1 A2 148
1 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 23e14d0b
Energy: Metal
1 A1 098
2 A1 181
2 A1 182
1 A1 225
2 A1a 068
1 A2 051
1 A2 053
1 A2 119
1 A2 146
1 A2 147
1 A2 148
2 P-A 001
2 P-A 005
2 P-A 007

# 336bbece
Energy: Metal
2 A1 181
2 A1 182
1 A1 188
2 A1 223
1 A1a 057
1 A1a 058
1 A1a 060
1 A1a 068
1 A2 119
1 A2 147
1 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 35fbc88f
Energy: Metal
2 A1 181
2 A1 182
2 A1 225
2 A1a 068
1 A2 015
1 A2 111
1 A2 115
1 A2 119
1 A2 147
1 A2 148
2 P-A 001
2 P-A 005
2 P-A 007

# 38e32f48
Energy: Metal
2 A1 181
2 A1 182
2 A1a 068
2 A2 111
1 A2 119
2 A2 147
2 A2 148
2 A2 150
1 A2 154
2 P-A 005
2 P-A 007

# 4ac5519d
Energy: Metal
2 A1 181
2 A1 182
1 A1 223
1 A1 225
1 A1a 068
2 A2 111
1 A2 119
1 A2 147
2 A2 148
1 A2 150
1 A2 154
1 A2b 111
2 P-A 001
2 P-A 007

# 91f5f1f8
Energy: Metal
2 A1 181
2 A1 182
1 A1 223
1 A1 225
1 A1a 068
2 A2 111
1 A2 119
1 A2 147
2 A2 148
1 A2 150
1 A2 154
2 P-A 001
1 P-A 005
2 P-A 007

# a10c9b1c
Energy: Metal
1 A1 179
1 A1 180
2 A1 181
2 A1 182
1 A1 223
1 A2 119
2 A2 147
1 A2 148
1 A2 150
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# a2ebe01c
Energy: Metal
2 A1 181
2 A1 182
1 A1 196
1 A2 119
2 A2 146
2 A2 147
2 A2 154
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# b0426dc2
Energy: Metal
2 A1 181
2 A1 182
1 A2 119
2 A2 146
2 A2 150
2 A2 154
1 A2a 071
2 A2a 075
2 P-A 002
2 P-A 005
2 P-A 007

# b9b8c1cd
Energy: Metal
2 A1 181
2 A1 182
1 A1 186
1 A1 187
1 A1 188
1 A1a 068
1 A2 022
1 A2 119
1 A2 146
1 A2 147
1 A2 148
1 A2 150
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# c146ed3e
Energy: Metal
2 A1 181
2 A1 182
1 A1 223
2 A2 111
1 A2 119
2 A2 146
2 A2 147
1 A2 150
1 A2 154
2 P-A 002
2 P-A 005
2 P-A 007

# c5de4082
Energy: Metal
2 A1 181
2 A1 182
1 A1 225
1 A1a 068
1 A2 111
1 A2 119
2 A2 147
2 A2 148
1 A2 150
1 A2 154
2 P-A 001
2 P-A 005
2 P-A 007

# e95ec0d3
Energy: Metal
2 A1 181
2 A1 182
1 A1 223
2 A1 225
1 A2 015
1 A2 115
1 A2 119
1 A2 146
2 A2 148
2 A2 154
1 P-A 002
2 P-A 005
2 P-A 007

# f6303b71
Energy: Metal
2 A1 181
2 A1 182
2 A1 223
2 A2 111
1 A2 119
1 A2 146
1 A2 147
1 A2 148
1 A2 150
1 A2a 075
2 P-A 001
1 P-A 002
1 P-A 005
2 P-A 007

# f9bbdecb
Energy: Metal
2 A1 181
2 A1 182
1 A1a 068
2 A2 111
1 A2 119
2 A2 147
1 A2 148
1 A2 150
1 A2 154
2 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007
