# 08823800
Energy: Fire, Water
1 A1 045
1 A1 080
2 A1 087
2 A1 088
2 A1 089
1 A1 102
2 A1 206
1 A1 220
1 A1 223
1 A1 225
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 535f3294
Energy: Fire, Water
1 A1 045
1 A1 080
2 A1 087
2 A1 088
2 A1 089
1 A1 203
1 A1 204
2 A1 206
1 A1 223
1 A1 225
2 P-A 002
2 P-A 005
2 P-A 007

# 57c907b3
Energy: Water
2 A1 080
2 A1 087
2 A1 088
2 A1 089
2 A1 220
2 A1a 061
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# af1b96da
Energy: Fire, Water
1 A1 045
1 A1 080
2 A1 087
2 A1 088
2 A1 089
1 A1 102
2 A1 205
2 A1 206
1 A1 225
1 P-A 001
2 P-A 005
1 P-A 006
2 P-A 007

# b57d5265
Energy: Water
1 A1 080
2 A1 087
2 A1 088
2 A1 089
1 A1 102
2 A1 206
1 A1 220
1 A1 223
2 A1 225
2 P-A 002
2 P-A 005
2 P-A 007

# ce05fe34
Energy: Fire, Water
1 A1 045
1 A1 080
2 A1 087
2 A1 088
2 A1 089
2 A1 223
2 A1a 056
2 A1a 061
2 P-A 001
2 P-A 005
2 P-A 007

# f44255dd
Energy: Water
2 A1 080
2 A1 087
2 A1 088
2 A1 089
2 A1 206
2 A1 220
1 A1 223
1 A1 225
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007
