# 063855f3
Energy: Fighting, Grass
2 A2 150
2 A3 144
2 A3 155
1 B1 121
1 B1 225
2 B3 076
2 B3 126
1 B3a 071
2 B3b 054
1 P-A 002
2 P-A 005
2 P-A 007

# 0aa365f1
Energy: Fighting, Grass
2 A2 148
2 A2 150
2 A3 144
1 A3 155
1 B1 121
2 B1 225
1 B2 017
1 B2 145
2 B3 076
2 B3 126
2 P-A 005
2 P-A 007

# 0d7eee94
Energy: Fighting, Grass
2 A2 148
1 A2 150
2 A3 144
1 B1 121
2 B1 225
1 B2 017
2 B2 145
1 B2b 069
2 B3 076
2 B3 126
2 P-A 005
2 P-A 007

# 0f0ff52c
Energy: Fighting, Grass
2 A2 150
2 A3 144
2 B1 109
1 B1 121
2 B1 225
1 B2 145
2 B3 076
2 B3 126
2 B3 148
2 P-A 005
2 P-A 007

# 18e6716b
Energy: Fighting, Grass
1 A1 225
1 A2 150
2 A3 144
1 A3 155
1 B1 121
1 B1 177
1 B1 225
2 B2 145
2 B3 076
1 B3 125
2 B3 126
1 P-A 002
2 P-A 005
2 P-A 007

# 20d0df30
Energy: Fighting, Grass
1 A2 147
2 A2 150
2 A3 144
1 B1 121
2 B1 225
2 B3 076
2 B3 078
2 B3 126
2 B3 148
2 P-A 005
2 P-A 007

# 22c82275
Energy: Fighting, Grass
1 A2 147
2 A2 150
2 A3 144
1 B1 121
2 B1 177
2 B1 225
2 B3 076
1 B3 125
2 B3 126
1 P-A 002
2 P-A 005
2 P-A 007

# 25f3b2e8
Energy: Fighting, Grass
2 A2 148
1 A2 150
2 A3 144
1 B1 109
1 B1 121
1 B1 225
1 B2 017
2 B2 145
1 B2b 069
2 B3 076
2 B3 126
2 P-A 005
2 P-A 007

# 26a1ce81
Energy: Fighting, Grass
2 A2 150
1 A2b 070
2 A3 144
1 A3 155
2 B1 109
1 B1 121
1 B1 225
2 B2 145
2 B3 076
2 B3 126
2 P-A 005
2 P-A 007

# 27cb64a6
Energy: Fighting, Grass
2 A2 150
1 A2b 070
2 A3 144
1 B1 121
1 B1 177
2 B1 225
1 B1a 065
2 B3 076
2 B3 126
1 B3 147
1 P-A 002
2 P-A 005
2 P-A 007

# 2dc93c2d
Energy: Fighting, Grass
2 A2 150
2 A3 144
1 B1 121
2 B1 177
2 B1 225
1 B2a 088
2 B3 076
1 B3 125
2 B3 126
1 P-A 002
2 P-A 005
2 P-A 007

# 3bd31446
Energy: Psychic
1 A2 147
1 A2 150
2 A3 144
2 B1 121
2 B1 225
1 B2 145
1 B2 147
1 B2 154
1 B2a 087
2 B3 076
2 B3 126
2 P-A 005
2 P-A 007

# 56efb553
Energy: Fighting, Grass
2 A2 150
2 A3 144
1 B1 121
2 B1 177
2 B1 225
1 B2 147
2 B3 076
1 B3 125
2 B3 126
1 P-A 002
2 P-A 005
2 P-A 007

# 58eed4a2
Energy: Fighting, Grass
1 A2 148
2 A2 150
2 A3 144
2 B1 109
1 B1 121
2 B1 225
1 B2 145
1 B2b 069
2 B3 076
2 B3 126
2 P-A 005
2 P-A 007

# 62c935f9
Energy: Fighting, Grass
1 A1 087
1 A1 089
1 A2 150
2 A3 144
1 B1 121
1 B1 177
1 B1 223
2 B1 225
2 B3 076
1 B3 125
2 B3 126
1 B3a 071
2 P-A 005
2 P-A 007

# 71b9fb21
Energy: Fighting, Grass
1 A2 148
2 A2 150
2 A3 144
1 B1 121
1 B1 177
2 B1 225
2 B3 076
1 B3 125
2 B3 126
1 B3a 071
1 P-A 002
2 P-A 005
2 P-A 007

# 74e54a48
Energy: Fighting, Grass
2 A2 150
1 A2b 070
2 A3 144
1 B1 121
2 B1 177
2 B1 225
1 B2b 069
2 B3 076
1 B3 125
2 B3 126
1 P-A 002
2 P-A 005
1 P-A 007

# 74e56c96
Energy: Fighting, Grass
2 A2 148
2 A2 150
2 A3 144
2 B1 109
1 B1 121
2 B1 225
1 B2 145
2 B3 076
2 B3 126
2 P-A 005
2 P-A 007

# 7b849406
Energy: Fighting, Grass
1 A2 147
1 A2 150
2 A3 144
1 A3 155
1 B1 121
1 B1 177
2 B1 225
1 B2 145
2 B3 076
1 B3 125
2 B3 126
1 P-A 002
2 P-A 005
2 P-A 007

# 93038dc0
Energy: Fighting, Grass
2 A2 148
2 A2 150
2 A3 144
1 B1 121
2 B1 225
1 B2 017
1 B2 145
2 B3 076
2 B3 126
1 P-A 002
2 P-A 005
2 P-A 007

# 94d9585b
Energy: Fighting, Grass
1 A2 148
2 A2 150
2 A3 144
1 B1 121
2 B1 177
2 B1 225
2 B3 076
1 B3 125
2 B3 126
1 P-A 002
2 P-A 005
2 P-A 007

# 999cccc4
Energy: Grass
1 A2 147
2 A2 150
2 A3 144
1 B1 121
2 B1 177
2 B1 225
2 B3 076
1 B3 125
2 B3 126
1 P-A 002
2 P-A 005
2 P-A 007

# a022eb57
Energy: Fighting, Grass
2 A2 150
2 A3 144
1 B1 121
2 B1 177
2 B1 225
1 B2 145
2 B3 076
1 B3 125
2 B3 126
1 P-A 002
2 P-A 005
2 P-A 007

# ac5c2469
Energy: Fighting, Grass
2 A2 150
2 A3 144
2 B1 109
1 B1 121
1 B1 225
2 B2 145
2 B3 076
2 B3 126
1 B3a 071
1 P-A 002
2 P-A 005
2 P-A 007

# b060fb35
Energy: Fighting, Grass
2 A2 150
2 A3 144
1 B1 121
2 B1 177
2 B1 225
