# 11721ef2
Energy: Metal
1 A1 225
1 A1a 068
2 A2 111
1 A2 112
2 A2 147
2 A2 148
1 A2 150
1 A2b 069
1 A2b 070
1 A3 117
1 A3 118
2 P-A 001
2 P-A 005
2 P-A 007

# 2bc759d0
Energy: Metal
1 A1 225
2 A2 111
1 A2 146
2 A2 147
1 A2 148
1 A2 155
2 A2a 075
2 A3 117
2 A3 118
2 A3 146
1 A3 151
1 P-A 005
2 P-A 007

# 62262b92
Energy: Metal
1 A1 223
1 A1 225
2 A2 111
1 A2 120
1 A2 146
2 A2 147
1 A2 148
2 A2a 075
2 A3 117
2 A3 118
1 A3 146
2 P-A 005
2 P-A 007

# 653aca1e
Energy: Metal
1 A1 225
2 A2 111
2 A2 147
1 A2 148
1 A2 150
2 A2b 071
2 A3 117
2 A3 118
1 A3 146
2 P-A 002
2 P-A 005
2 P-A 007

# 90ee94a5
Energy: Metal
2 A2 111
2 A2 147
1 A2 148
2 A2a 075
2 A3 117
2 A3 118
1 A3 123
2 A4 156
1 A4 158
1 P-A 002
2 P-A 005
2 P-A 007

# aab85175
Energy: Metal
1 A1 225
2 A2 111
2 A2 147
1 A2 148
1 A2 150
1 A2a 073
1 A2b 070
1 A2b 071
1 A3 117
2 A3 118
1 A3 123
1 A3 146
1 A3a 046
2 P-A 005
2 P-A 007

# c193f2be
Energy: Metal
2 A1 223
1 A1 225
2 A2 111
2 A2 147
2 A2 148
2 A3 117
2 A3 118
1 A3 123
1 A3 151
2 P-A 005
1 P-A 006
2 P-A 007

# da475786
Energy: Metal
2 A2 111
1 A2 147
1 A2 148
1 A2 150
2 A2a 075
1 A2b 070
1 A2b 071
2 A3 117
2 A3 118
2 A3 146
1 A3 151
2 P-A 005
2 P-A 007
