# 313bbdbe
Energy: Fighting, Water
1 A1 225
2 A2 121
2 A2 123
1 A2 150
2 A3 144
1 A4a 023
1 B1 109
1 B1 225
1 B1a 065
1 B2 147
1 B3a 071
1 B3b 059
1 B3b 060
2 P-A 005
2 P-A 007

# 37169c8f
Energy: Fighting, Water
2 A2 121
2 A2 123
1 A2 150
1 A2 152
2 A3 144
1 A4 151
2 A4a 023
2 B1 225
1 B1 226
1 B3b 059
1 B3b 060
2 P-A 005
2 P-A 007

# 46079415
Energy: Fighting, Water
2 A2 121
2 A2 122
2 A2 123
2 A2 152
1 A3 144
1 A4a 023
1 B1 223
1 B1 225
2 B3b 059
2 B3b 060
2 P-A 005
2 P-A 007

# 57313e68
Energy: Fighting, Water
1 A1 087
2 A1 089
2 A2 121
2 A2 123
1 A2 150
2 A3 144
1 A4a 023
2 B1 225
1 B2a 093
1 B3b 059
1 B3b 060
2 P-A 005
2 P-A 007

# eecc0a4a
Energy: Fighting, Water
2 A2 123
1 A2 150
2 A2a 045
1 A2a 046
2 A3 144
1 A4a 023
1 B1 225
1 B2a 093
2 B3b 059
2 B3b 060
1 B3b 065
2 P-A 005
2 P-A 007
