# 120918b7
Energy: Fighting, Grass
1 A1 087
1 A1 089
1 A2 147
1 A2 150
2 A3 144
1 A4a 023
2 B1 225
1 B2b 069
2 B3 076
1 B3 125
2 B3 126
1 P-A 002
2 P-A 005
2 P-A 007

# 1dad09e5
Energy: Fighting, Grass
1 A1 087
1 A1 089
1 A2 147
2 A2 150
2 A3 144
1 B1 109
2 B1 225
2 B3 076
1 B3 125
2 B3 126
1 B3a 071
2 P-A 005
2 P-A 007

# 775288cc
Energy: Fighting, Grass
1 A1 087
1 A1 089
1 A2 150
1 A2b 070
2 A3 144
2 B1 177
2 B1 225
2 B3 076
1 B3 125
2 B3 126
1 B3b 064
2 P-A 005
2 P-A 007

# 8213ebc2
Energy: Fighting
1 A1 087
1 A1 089
2 A2 150
2 A3 144
2 B1 225
2 B1a 065
1 B2b 069
2 B3 076
1 B3 125
1 B3 126
1 B3a 071
2 P-A 005
2 P-A 007

# a5705ddf
Energy: Fighting, Grass
1 A1 087
1 A1 089
1 A2 150
2 A3 144
2 B1 177
2 B1 225
1 B2b 069
2 B3 076
1 B3 125
2 B3 126
1 P-A 002
2 P-A 005
2 P-A 007

# e141cacb
Energy: Fighting, Grass
1 A1 087
1 A1 089
1 A2 150
2 A3 144
2 B1 177
1 B1 223
2 B1 225
2 B3 076
1 B3 125
2 B3 126
1 P-A 002
2 P-A 005
2 P-A 007
