# 03c0519b
Energy: Darkness
1 A1 104
2 A1 129
2 A1 174
2 A1 175
2 A1 176
2 A1 177
1 A1 222
1 A1 223
1 A1 225
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 66c1d278
Energy: Darkness
1 A1 103
2 A1 129
2 A1 174
2 A1 175
2 A1 176
2 A1 177
2 A1 222
2 A1 225
1 P-A 002
2 P-A 005
2 P-A 007

# 7e8b7686
Energy: Darkness
1 A1 104
2 A1 129
2 A1 174
2 A1 175
2 A1 176
2 A1 177
2 A1 222
1 A1 225
2 P-A 002
2 P-A 005
2 P-A 007

# f23757ba
Energy: Darkness
2 A1 129
2 A1 174
2 A1 175
2 A1 176
2 A1 177
2 A1 222
1 A1a 032
2 A1a 068
1 P-A 002
2 P-A 005
2 P-A 007
