# 18736bdb
Energy: Fighting, Metal
1 A1 225
1 A2 150
1 A3 144
1 A3 155
1 B1 109
1 B1 223
1 B1 225
2 B2 124
1 B2 145
2 B2b 054
1 B2b 055
2 B2b 056
1 B2b 067
2 P-A 005
2 P-A 007

# 1a506c92
Energy: Fighting, Metal
1 A1 225
1 A2 150
2 A3 144
1 A3 155
1 B1 109
1 B1 225
2 B2 124
2 B2b 054
1 B2b 055
2 B2b 056
1 B2b 067
1 P-A 002
2 P-A 005
2 P-A 007

# 23625b0e
Energy: Fighting, Metal
1 A1 225
1 A2 148
1 A2 155
1 A2a 069
2 A3 144
1 A3 155
2 A4a 065
1 B1 225
2 B2 124
2 B2b 054
2 B2b 056
1 B2b 067
1 B3 147
2 P-A 007

# 3f0c6a09
Energy: Fighting, Metal
1 A1 225
1 A2 147
1 A2b 071
2 A3 144
2 B1 225
1 B1a 065
2 B2 124
1 B2 154
2 B2b 054
2 B2b 056
1 B2b 067
1 P-A 002
1 P-A 005
2 P-A 007

# 680fa2e3
Energy: Fighting, Metal
1 A2b 070
2 A3 144
1 A4a 065
2 B1 225
1 B1a 065
2 B2 124
1 B2 147
2 B2b 054
2 B2b 056
1 B2b 067
1 P-A 002
2 P-A 005
2 P-A 007

# 8fa62ea7
Energy: Fighting, Metal
1 A1 225
1 A2 150
2 A3 144
2 B1 177
1 B1 225
2 B2 124
1 B2a 093
2 B2b 054
2 B2b 056
1 B2b 067
1 P-A 002
2 P-A 005
2 P-A 007

# b124303f
Energy: Fighting, Metal
1 A2 148
2 A3 144
1 A4a 065
1 B1 225
2 B2 124
1 B2 147
1 B2a 093
2 B2b 054
2 B2b 056
1 B2b 067
1 B3b 061
1 B3b 064
2 P-A 005
2 P-A 007

# f13364c5
Energy: Fighting, Metal
1 A1 225
1 A2 150
2 A3 144
1 B1 177
2 B1 225
1 B1a 065
2 B2 124
1 B2 147
2 B2b 054
2 B2b 056
1 B2b 067
2 P-A 005
2 P-A 007

# f1bf170c
Energy: Fighting, Metal
1 A2 150
2 A3 066
2 A3 144
2 A4 066
1 B1 223
1 B1 226
2 B2 124
2 B2b 054
2 B2b 056
1 B2b 067
2 P-A 005
2 P-A 007

# f228c94f
Energy: Fighting, Metal
1 A2 150
1 A2a 069
2 A3 144
2 A3a 021
1 A4 151
2 B1 225
2 B2 124
2 B2b 054
2 B2b 056
1 B2b 067
2 P-A 005
2 P-A 007

# fcf6c9c4
Energy: Fighting, Metal
1 A1a 056
1 A2 148
1 A2 150
1 A2b 070
2 A3 144
1 B1 109
2 B1 225
2 B2 124
2 B2b 054
2 B2b 056
1 B2b 067
2 P-A 005
2 P-A 007
