# 07de975d
Energy: Fighting, Water
1 A1 225
1 A1a 068
2 A2 122
2 A2 123
1 A2 147
1 A2 150
2 A2 152
2 A2a 045
2 A2a 063
2 A2a 074
2 P-A 005
2 P-A 007

# 0898695e
Energy: Fighting, Water
2 A2 121
1 A2 122
2 A2 123
1 A2 146
2 A2 148
1 A2 152
1 A2a 046
2 A2a 063
1 A2a 072
2 A2a 074
1 P-A 002
2 P-A 005
2 P-A 007

# 09069e1c
Energy: Fighting, Water
2 A2 121
2 A2 122
2 A2 123
1 A2 146
1 A2 147
1 A2 148
2 A2 152
2 A2a 063
1 A2a 072
2 A2a 074
2 P-A 005
2 P-A 007

# 0f9b0c69
Energy: Fighting, Water
2 A2 123
1 A2 147
2 A2 148
1 A2 150
2 A2 152
2 A2a 045
2 A2a 046
2 A2a 063
2 A2a 074
2 P-A 005
2 P-A 007

# 10f3ed83
Energy: Fighting, Water
1 A1 225
1 A1a 068
2 A2 121
2 A2 123
1 A2 148
2 A2 152
1 A2a 046
2 A2a 063
2 A2a 074
2 A3 144
1 P-A 005
1 P-A 006
2 P-A 007

# 11056345
Energy: Fighting, Water
2 A2 121
2 A2 122
2 A2 123
2 A2 147
2 A2 152
2 A2a 063
1 A2a 072
2 A2a 074
2 P-A 005
1 P-A 006
2 P-A 007

# 11f5b754
Energy: Fighting, Water
1 A1 225
1 A2 121
1 A2 122
2 A2 123
1 A2 146
2 A2 148
1 A2 152
1 A2a 045
1 A2a 046
2 A2a 063
2 A2a 074
1 P-A 002
2 P-A 005
2 P-A 007

# 147f6e87
Energy: Fighting, Water
1 A1 225
2 A2 121
2 A2 123
2 A2 148
2 A2 152
2 A2a 046
2 A2a 063
1 A2a 072
2 A2a 074
2 P-A 005
2 P-A 007

# 17da3def
Energy: Fighting, Water
2 A2 121
2 A2 123
2 A2 147
1 A2 148
2 A2 152
2 A2a 046
2 A2a 063
1 A2a 072
2 A2a 074
2 P-A 005
2 P-A 007

# 1890b1b3
Energy: Fighting, Water
2 A2 121
2 A2 122
2 A2 123
1 A2 146
1 A2 147
1 A2 148
1 A2 150
2 A2 152
2 A2a 063
2 A2a 074
2 P-A 005
2 P-A 007

# 192bff82
Energy: Fighting, Water
2 A2 121
2 A2 123
1 A2 146
1 A2 147
1 A2 148
1 A2 150
1 A2 152
2 A2a 046
2 A2a 063
2 A2a 074
1 A2b 070
2 A2b 111
2 P-A 007

# 1b5559b5
Energy: Fighting, Water
2 A2 121
2 A2 122
2 A2 123
1 A2 146
1 A2 147
2 A2 152
2 A2a 063
2 A2a 074
