# 19664a8f
Energy: Metal
1 A1 223
1 A1 225
2 A2 111
2 A2 147
1 A2 148
1 A2 150
1 A2 155
1 A3 146
2 A3a 060
2 A3a 061
2 A3a 067
2 P-A 005
2 P-A 007

# 283c3ebd
Energy: Metal
1 A1 225
1 A1a 068
2 A2 111
1 A2 147
2 A2 148
1 A2 150
1 A2b 071
2 A3a 060
2 A3a 061
1 A3a 067
2 B1 225
1 B2 153
2 P-A 005
1 P-A 007

# 46805f44
Energy: Metal
2 A2 111
2 A2 147
1 A2 150
1 A2b 070
2 A2b 071
2 A3 146
1 A3 151
2 A3a 060
2 A3a 061
2 A3a 067
2 P-A 001
1 P-A 005

# 58ad4102
Energy: Metal
1 A1a 068
2 A2 111
1 A2 147
2 A2 148
1 A2 150
1 A2b 071
2 A3a 060
2 A3a 061
2 A3a 067
1 B1 225
1 B2 153
2 P-A 005
2 P-A 007

# 6d3b6cdc
Energy: Metal
2 A1 223
2 A2 111
2 A2 148
2 A2 150
2 A3 146
2 A3a 060
2 A3a 061
2 A3a 067
2 P-A 005
2 P-A 007

# 9900f8da
Energy: Metal
1 A1 223
2 A2 111
1 A2 147
2 A2 148
1 A2 150
1 A2b 070
2 A3a 060
2 A3a 061
2 A3a 067
1 B1 225
1 B2 145
2 P-A 005
2 P-A 007

# a1a2d7ad
Energy: Metal
2 A1 223
2 A2 111
2 A2 147
2 A2 148
1 A2 150
1 A2 155
2 A3a 060
2 A3a 061
2 A3a 067
2 P-A 005
2 P-A 007

# db8b8a81
Energy: Metal
2 A1 223
1 A1 225
2 A2 111
1 A2 147
2 A2 148
1 A2 150
1 A2 155
1 A3 146
2 A3a 060
2 A3a 061
1 A3a 067
2 P-A 005
2 P-A 007
