# 0916f2fc
Energy: Lightning
1 A2 146
1 A2 147
1 A2 150
2 A2a 071
1 A2b 070
1 A3 066
1 A3 149
2 A3a 021
2 A4 066
2 A4 151
1 A4 157
1 A4a 025
2 P-A 005
2 P-A 007

# 134129d3
Energy: Lightning
1 A1 223
1 A1a 068
1 A2 147
1 A2 150
2 A2a 071
1 A2b 071
1 A3 066
2 A3a 021
1 A3a 064
1 A4 066
2 A4 151
1 A4a 025
1 P-A 002
2 P-A 005
2 P-A 007

# 2488ecbf
Energy: Lightning
1 A1 223
1 A1 225
2 A2 147
1 A2 150
1 A2 155
2 A2a 071
1 A2b 070
2 A3 066
2 A4 066
1 A4 071
1 A4 151
1 A4a 025
2 P-A 005
2 P-A 007

# 6064e705
Energy: Lightning
1 A2 147
2 A2 150
2 A2a 071
1 A3a 021
2 A4 066
2 A4 070
1 A4 151
1 A4a 025
2 B1 225
1 B1 226
2 P-A 005
1 P-A 006
2 P-A 007

# 912307f8
Energy: Lightning
1 A1a 068
1 A2 147
1 A2 150
2 A2a 071
1 A2b 071
1 A3 066
1 A3 149
2 A3a 021
2 A4 066
1 A4 151
1 A4a 025
1 B1 225
2 P-A 005
1 P-A 006
2 P-A 007

# 96fda7d2
Energy: Lightning
1 A1 225
2 A1a 068
1 A2 150
2 A2a 071
1 A2b 071
2 A3 066
1 A3 151
2 A4 066
2 A4 151
1 A4 158
1 A4a 025
2 P-A 005
2 P-A 007

# bb08c511
Energy: Lightning
1 A1 223
1 A1 225
1 A2 150
2 A2a 071
1 A3 149
2 A3a 021
2 A4 066
2 A4 151
1 A4 158
1 A4a 025
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# bb22cbd3
Energy: Lightning
1 A1 223
1 A1a 068
2 A2 147
1 A2 150
2 A2a 071
1 A3 066
2 A3a 021
2 A4 066
1 A4 151
1 A4a 025
1 B1 225
2 P-A 005
1 P-A 006
2 P-A 007

# cb183c0f
Energy: Lightning
1 A1 225
1 A2 147
2 A2a 071
1 A2b 071
1 A3 151
1 A3a 019
2 A3a 021
2 A4 066
2 A4 151
1 A4a 025
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# f4420841
Energy: Lightning
1 A1 223
1 A2 147
1 A2 150
1 A2 155
2 A2a 071
1 A2b 070
2 A3 066
2 A3a 021
2 A4 066
2 A4 151
1 A4a 025
2 P-A 005
2 P-A 007
