# 0966871d
Energy: Metal, Psychic
2 A1a 036
2 A1a 037
2 A1a 038
2 A1a 065
2 A2 063
2 A2 064
2 A2 065
1 A2 152
1 P-A 002
2 P-A 005
2 P-A 007

# 1c5ed228
Energy: Psychic
2 A1a 036
2 A1a 037
2 A1a 038
2 A1a 065
2 A2 063
2 A2 064
2 A2 065
1 A2 152
1 P-A 002
2 P-A 005
2 P-A 007

# 21709342
Energy: Psychic
2 A1a 036
2 A1a 037
2 A1a 038
2 A2 063
2 A2 064
2 A2 065
2 A2 146
2 A2 152
2 P-A 005
2 P-A 007

# 2585812c
Energy: Psychic
2 A1a 036
2 A1a 037
2 A1a 038
1 A1a 065
2 A2 063
2 A2 064
2 A2 065
1 A2 146
1 A2 147
1 A2 150
2 P-A 005
2 P-A 007

# 28ef22e7
Energy: Psychic
1 A1 225
1 A1a 036
1 A1a 037
1 A1a 038
2 A2 063
2 A2 064
2 A2 065
1 A2 079
2 A2 146
1 A2 147
1 A2 150
1 A2 152
2 P-A 005
2 P-A 007

# 2a192aff
Energy: Psychic
2 A1a 036
1 A1a 037
2 A1a 038
2 A2 063
1 A2 064
2 A2 065
2 A3 144
2 A3 155
2 P-A 002
2 P-A 005
2 P-A 007

# 4d66d81e
Energy: Psychic
2 A1a 036
2 A1a 037
2 A1a 038
2 A1a 065
2 A2 063
2 A2 064
2 A2 065
1 A2 146
1 A2 152
2 P-A 005
2 P-A 007

# 6b57236b
Energy: Psychic
2 A1a 036
2 A1a 037
2 A1a 038
2 A2 063
2 A2 064
2 A2 065
1 A2 146
1 A2 150
2 A2 152
2 P-A 005
2 P-A 007

# 7297d8fb
Energy: Psychic
2 A1a 036
2 A1a 037
2 A1a 038
1 A1a 065
2 A2 063
2 A2 064
2 A2 065
1 A2 152
1 A2 154
1 P-A 002
2 P-A 005
2 P-A 007

# 9904c030
Energy: Psychic
2 A1a 036
2 A1a 037
2 A1a 038
1 A1a 065
2 A2 063
2 A2 064
2 A2 065
2 A3 144
1 P-A 002
2 P-A 005
2 P-A 007

# abf874ac
Energy: Psychic
2 A1a 036
2 A1a 037
2 A1a 038
2 A2 063
2 A2 064
2 A2 065
2 A2 146
1 A2 150
1 A2 152
2 P-A 005
2 P-A 007

# b15f46ec
Energy: Psychic
1 A1 127
1 A1 225
1 A1a 036
1 A1a 037
1 A1a 038
1 A2 022
1 A2 063
2 A2 064
2 A2 065
1 A2 147
2 A2 152
2 P-A 001
2 P-A 005
2 P-A 007

# bc71fafb
Energy: Psychic
2 A1a 036
2 A1a 037
2 A1a 038
2 A1a 065
2 A2 063
2 A2 064
2 A2 065
1 A2 146
1 A2 150
2 A2 152
1 P-A 005
1 P-A 007

# cae36713
Energy: Psychic
1 A1 225
2 A1a 036
2 A1a 037
2 A1a 038
2 A2 063
2 A2 064
2 A2 065
1 A2 146
1 A2 150
1 A2 152
2 P-A 005
2 P-A 007

# cd828728
Energy: Psychic
1 A1 225
2 A1a 036
1 A1a 037
2 A1a 038
2 A2 063
1 A2 064
2 A2 065
1 A2 150
1 A2 152
2 A3 144
1 A3 151
2 A3 155
2 P-A 007

# da341500
Energy: Psychic
2 A1a 036
2 A1a 037
2 A1a 038
1 A1a 065
2 A2 063
2 A2 064
2 A2 065
1 A2 146
1 A2 150
1 A2 152
2 P-A 005
2 P-A 007

# e0cfb5ff
Energy: Psychic
2 A1a 036
2 A1a 037
2 A1a 038
1 A2 022
2 A2 063
2 A2 064
2 A2 065
1 A2 152
2 P-A 001
2 P-A 005
2 P-A 007

# e1cd93fe
Energy: Psychic
2 A1a 036
2 A1a 037
2 A1a 038
1 A1a 065
2 A2 063
2 A2 064
2 A2 065
1 A2 150
1 A2 152
1 P-A 002
2 P-A 005
2 P-A 007

# ee4a1f23
Energy: Psychic
2 A1a 036
2 A1a 037
2 A1a 038
2 A2 063
2 A2 064
2 A2 065
1 A2 146
1 A2 147
1 A2 150
1 A2 152
2 P-A 005
2 P-A 007

# fa61d76f
Energy: Psychic
2 A1a 036
2 A1a 037
2 A1a 038
2 A1a 065
2 A2 063
2 A2 064
2 A2 065
2 A2 152
2 P-A 005
2 P-A 007
