# 16dbb9b8
Energy: Grass, Water
1 A1 087
2 A1 088
2 A1 089
2 A1 203
2 A1 219
2 A1a 001
2 A1a 002
2 A1a 068
1 P-A 002
2 P-A 005
2 P-A 007

# 4834f75e
Energy: Water
2 A1 087
2 A1 088
2 A1 089
2 A1 203
1 A1 223
1 A1 225
2 A1a 001
2 A1a 002
1 A1a 068
2 P-A 005
1 P-A 006
2 P-A 007

# 89cdc4a8
Energy: Fighting, Fire
1 A1 045
1 A1 087
1 A1 088
1 A1 089
1 A1 154
1 A1 198
1 A1 203
1 A1 219
1 A1 225
1 A1a 001
1 A1a 002
1 A1a 047
1 A1a 056
1 A1a 061
1 A1a 068
1 P-A 001
1 P-A 002
1 P-A 005
1 P-A 006
1 P-A 007

# d4a804c6
Energy: Fire, Water
2 A1 087
2 A1 088
2 A1 089
1 A1 219
1 A1 225
2 A1a 001
2 A1a 002
2 A1a 056
2 A1a 068
2 P-A 005
2 P-A 007

# f77e2796
Energy: Grass, Water
2 A1 087
1 A1 088
2 A1 089
2 A1 198
2 A1a 001
2 A1a 002
2 A2 147
1 A2 150
2 A3 144
2 P-A 005
2 P-A 007

# f80bc377
Energy: Fire, Water
2 A1 087
2 A1 088
2 A1 089
2 A1 219
2 A1a 001
2 A1a 002
2 A1a 056
2 A1a 068
2 P-A 005
2 P-A 007
