# 1ab192db
Energy: Metal
1 A1a 032
2 A2 119
1 A2 146
2 A2 148
1 A2 150
2 A2a 058
2 A2a 059
1 A2a 075
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 6f260982
Energy: Metal
1 A1 181
1 A1 182
1 A1a 068
2 A2 086
2 A2 116
1 A2 117
1 A2 118
2 A2 119
1 A2 147
1 A2 148
1 A2 154
1 A2a 059
2 A2a 075
1 P-A 001
1 P-A 005
1 P-A 007

# ce507f84
Energy: Metal
1 A1 179
1 A1 180
1 A1 225
1 A1a 068
1 A2 116
1 A2 119
1 A2 147
1 A2 148
1 A2 150
1 A2 154
1 A2a 059
1 A2b 068
1 A2b 070
1 A2b 072
1 A3 123
1 A3 151
1 P-A 001
1 P-A 005
1 P-A 006
1 P-A 007
