# 6a0f892f
Energy: Fire, Water
2 A1 187
2 A1 188
1 A1 198
2 A1 223
1 A1 225
2 A1a 056
2 A1a 057
2 A1a 068
2 P-A 002
2 P-A 005
2 P-A 007

# 7807ed8b
Energy: Fire, Water
1 A1 127
2 A1 186
2 A1 187
2 A1 188
2 A1 223
1 A1 225
2 A1a 056
2 A1a 068
2 P-A 001
2 P-A 005
2 P-A 007

# 8c212ace
Energy: Fire, Water
2 A1 187
2 A1 188
1 A1 223
2 A1 225
2 A1a 056
2 A1a 057
2 A1a 068
2 P-A 001
2 P-A 005
1 P-A 006
2 P-A 007

# b0188c98
Energy: Fighting
1 A1 154
2 A1 186
2 A1 188
1 A1 223
1 A1 225
1 A1a 047
2 A1a 056
2 A1a 058
1 A1a 068
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# bc367044
Energy: Fire, Water
2 A1 186
2 A1 187
2 A1 188
2 A1 223
1 A1 225
2 A1a 056
1 A1a 068
2 P-A 001
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# bd5995e1
Energy: Fire, Water
2 A1 187
2 A1 188
1 A1 210
1 A1 223
2 A1a 056
2 A1a 057
2 A1a 063
1 A1a 068
2 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# c9441745
Energy: Fire, Water
2 A1 186
2 A1 187
2 A1 188
2 A1 223
1 A1 225
2 A1a 056
2 P-A 001
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# e8812cfb
Energy: Metal
1 A1 181
1 A1 182
2 A1 186
2 A1 187
2 A1 188
1 A1 223
2 A1a 056
2 A1a 068
1 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# e90793c5
Energy: Fire, Water
2 A1 186
2 A1 187
2 A1 188
1 A1 210
1 A1 223
2 A1a 056
1 A1a 063
1 A1a 068
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007
