# 01764f14
Energy: Lightning
1 A1 096
1 A1 225
1 A2 147
1 A2 150
1 A2b 022
2 A3 066
1 A3 151
2 A3a 021
2 A4 066
2 A4 151
1 A4 158
1 P-A 002
2 P-A 005
2 P-A 007

# 03c26cbf
Energy: Lightning
1 A1 223
1 A1 225
1 A2 150
1 A2 155
2 A2b 022
1 A2b 071
2 A3 066
2 A3a 021
2 A4 066
2 A4 151
1 P-A 002
2 P-A 005
2 P-A 007

# 075bae07
Energy: Lightning
1 A1 096
1 A1 225
1 A2 147
1 A2 150
1 A2b 022
2 A3 066
2 A3a 021
2 A4 066
1 A4 071
2 A4 151
1 A4 158
2 P-A 005
1 P-A 006
2 P-A 007

# 0ead625e
Energy: Lightning
1 A1 225
1 A2 147
1 A2 150
2 A2b 022
2 A3 066
1 A3 151
2 A3a 021
2 A4 066
1 A4 071
2 A4 151
1 A4 158
2 P-A 005
2 P-A 007

# 12879ff5
Energy: Lightning
1 A1 225
1 A2 146
1 A2 147
1 A2a 069
2 A2b 022
1 A2b 069
1 A3 151
2 A3a 021
1 A3a 065
2 A4 066
2 A4 151
2 P-A 005
1 P-A 006
2 P-A 007

# 20120388
Energy: Lightning
1 A2 147
1 A2 155
2 A2b 022
1 A2b 071
1 A3 151
2 A3a 021
1 A3a 064
2 A4 066
2 A4 151
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 30cd8cc2
Energy: Lightning
1 A1 096
1 A1 223
1 A1 225
1 A2 150
1 A2b 022
1 A2b 070
2 A3 066
2 A3a 021
2 A4 066
2 A4 151
1 A4 158
2 P-A 005
1 P-A 006
2 P-A 007

# 59242032
Energy: Lightning
1 A1 225
1 A2 150
2 A2b 022
1 A2b 070
2 A3 066
1 A3 151
2 A3a 021
2 A3a 065
2 A4 066
1 A4 158
2 P-A 005
1 P-A 006
2 P-A 007

# 64d5e51e
Energy: Lightning
1 A1 223
1 A2 146
1 A2 147
1 A2 150
1 A2a 069
2 A2b 022
1 A2b 069
1 A3 066
1 A3 151
2 A3a 021
2 A4 066
2 A4 151
2 P-A 005
2 P-A 007

# 6cd9c49b
Energy: Lightning
1 A1 096
1 A2 147
1 A2 150
1 A2b 022
1 A2b 070
1 A2b 071
2 A3 066
1 A3 151
1 A3a 021
1 A3a 064
2 A4 066
2 A4 151
2 P-A 005
1 P-A 006
2 P-A 007

# 6cebd17d
Energy: Lightning
1 A1 096
1 A1 223
1 A1 225
1 A2 150
1 A2b 022
2 A3 066
1 A3 151
2 A3a 021
2 A4 066
2 A4 151
1 A4 158
2 P-A 005
1 P-A 006
2 P-A 007

# 776d9d7e
Energy: Lightning
1 A1 096
1 A1 225
1 A2b 022
2 A3 066
2 A3a 021
1 A3a 065
2 A4 066
2 A4 151
1 A4 158
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 82c90506
Energy: Lightning
1 A1 096
1 A1 225
1 A2 150
1 A2b 022
1 A2b 071
1 A3 066
1 A3 151
2 A3a 021
2 A4 066
2 A4 151
1 A4 158
2 P-A 002
2 P-A 005
2 P-A 007

# 874a8124
Energy: Lightning
1 A1 223
1 A1 225
1 A2 147
1 A2 150
1 A2 155
1 A2b 022
1 A2b 070
2 A3 066
1 A3 151
2 A3a 021
2 A4 066
2 A4 151
2 P-A 005
2 P-A 007

# 8c8a9233
Energy: Lightning
1 A1 096
1 A1 225
1 A2 147
1 A2 150
1 A2b 022
2 A3 066
1 A3 151
2 A3a 021
2 A4 066
1 A4 071
2 A4 151
1 A4 158
2 P-A 005
2 P-A 007

# a54a35cc
Energy: Lightning
1 A1 096
1 A1 223
1 A1 225
1 A2 150
1 A2b 022
1 A3 066
2 A3a 021
2 A4 066
1 A4 071
2 A4 151
1 A4 158
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# cd5f6e8b
Energy: Lightning
1 A1 096
1 A1 225
1 A2 147
1 A2 150
1 A2b 022
1 A2b 071
2 A3 066
1 A3 151
2 A3a 021
1 A3a 065
2 A4 066
1 A4 158
1 P-A 002
2 P-A 005
2 P-A 007

# cf702f91
Energy: Lightning
2 A2 150
1 A2b 022
2 A3a 021
2 A3a 065
2 A4 066
2 A4 151
1 B1 225
1 B2 154
2 B2a 045
1 B2a 086
2 P-A 005
2 P-A 007

# eab0e6c5
Energy: Lightning
1 A1 096
1 A1 225
1 A2 022
1 A2 150
1 A2 155
1 A2b 022
2 A3 066
1 A3 151
2 A3a 021
1 A3a 064
2 A4 066
2 A4 151
2 P-A 005
2 P-A 007
