# 07709854
Energy: Fighting, Water
2 A2 121
1 A2 122
2 A2 123
1 A2 146
1 A2 147
1 A2 150
1 A2 152
1 A2b 069
2 A3 144
1 A3 155
1 A4 077
2 A4a 023
2 P-A 005
2 P-A 007

# 1e239632
Energy: Fighting
2 A2 123
1 A2 146
1 A2 147
2 A2 152
2 A2a 045
1 A2b 069
2 A3 144
1 A3 155
1 A3a 064
2 A4a 023
2 P-A 005
1 P-A 006
2 P-A 007

# 2f5797ec
Energy: Fighting
2 A2 123
1 A2 146
1 A2 147
1 A2 150
2 A2 152
2 A2a 045
1 A2a 046
2 A3 144
2 A3 155
2 A4a 023
2 P-A 005
2 P-A 007

# 32290164
Energy: Fighting, Water
2 A2 121
1 A2 122
2 A2 123
1 A2 146
1 A2 150
2 A2 152
1 A2 155
1 A2b 069
2 A3 144
1 A4 077
2 A4a 023
2 P-A 005
2 P-A 007

# 36414e2e
Energy: Fighting
2 A2 121
2 A2 123
2 A2 152
1 A2 155
1 A2a 046
2 A3 144
1 A4 151
2 A4a 023
1 B1 223
1 B1 225
1 B2b 057
2 P-A 005
2 P-A 007

# 387827c5
Energy: Fighting
2 A2 123
2 A2 148
2 A2 152
2 A2a 045
1 A2a 046
2 A3 144
1 A3 155
2 A4a 023
1 B1 225
2 P-A 005
1 P-A 006
2 P-A 007

# 3c2680e0
Energy: Fighting
1 A1a 047
2 A2 121
2 A2 123
1 A2 147
1 A2 150
2 A2 152
1 A2a 046
2 A3 144
1 A3 155
1 A4 077
2 A4a 023
2 P-A 005
2 P-A 007

# 477cedbc
Energy: Fighting
1 A2 121
2 A2 123
1 A2 146
1 A2 147
1 A2 150
2 A2 152
1 A2a 045
1 A2a 046
1 A2b 069
2 A3 144
1 A3 155
2 A4a 023
2 P-A 005
2 P-A 007

# 598eef1b
Energy: Fighting
1 A1 225
2 A2 121
2 A2 123
1 A2 147
1 A2 150
2 A2 152
1 A2a 046
2 A3 144
1 A3 155
1 A4 151
2 A4a 023
2 P-A 005
2 P-A 007

# 59d63752
Energy: Fighting
2 A2 121
1 A2 122
2 A2 123
2 A2 146
1 A2 150
2 A2 152
2 A3 144
1 A3 155
2 A4a 023
1 P-A 002
2 P-A 005
2 P-A 007

# 68adc029
Energy: Fighting, Water
2 A2 121
1 A2 122
2 A2 123
1 A2 150
2 A2 152
1 A2 155
1 A2b 069
2 A3 144
1 A3a 064
2 A4a 023
2 P-A 005
1 P-A 006
2 P-A 007

# 68c17e71
Energy: Fighting, Water
2 A2 121
1 A2 122
2 A2 123
2 A2 146
1 A2 150
2 A2 152
2 A3 144
1 A3 155
2 A4a 023
1 P-A 002
2 P-A 005
2 P-A 007

# 74c422b4
Energy: Fighting, Water
2 A2 121
1 A2 122
2 A2 123
1 A2 146
2 A2 147
1 A2 150
2 A2 152
2 A3 144
1 A3 155
2 A4a 023
2 P-A 005
2 P-A 007

# 860151af
Energy: Fighting, Water
2 A2 121
1 A2 122
2 A2 123
2 A2 148
2 A2 152
1 A2b 070
2 A3 144
2 A4a 023
1 A4a 065
1 P-A 002
2 P-A 005
2 P-A 007

# 8abcb679
Energy: Fighting
2 A2 123
1 A2 146
1 A2 150
2 A2a 045
1 A2a 046
1 A2a 072
2 A3 144
1 A3 151
1 A3 155
1 A3a 064
2 A4a 023
1 P-A 002
2 P-A 005
2 P-A 007

# 9b8b40b2
Energy: Fighting
1 A1a 047
2 A2 121
2 A2 123
1 A2 147
1 A2 150
2 A2 152
1 A2a 046
2 A3 144
1 A3 155
2 A4a 023
1 B1 225
2 P-A 005
2 P-A 007

# a748b7b0
Energy: Fighting
1 A1a 047
2 A2 123
1 A2 152
2 A2a 045
1 A2a 046
2 A3 144
1 A3 155
1 A4 151
2 A4a 023
1 B1 225
1 B1 226
1 B2a 093
1 B3 148
1 P-A 005
2 P-A 007

# ab1bb9b9
Energy: Fighting
2 A2 121
1 A2 122
2 A2 123
1 A2 146
1 A2 147
2 A2 152
1 A2b 072
2 A3 144
1 A3 155
2 A4a 023
2 P-A 005
1 P-A 006
2 P-A 007

# b3f1c8e1
Energy: Fighting
2 A2 121
1 A2 122
2 A2 123
1 A2 148
2 A2 152
2 A3 144
1 A4 151
2 A4a 023
1 B1 223
2 B1 225
2 P-A 005
2 P-A 007

# c3239114
Energy: Fighting, Water
2 A2 121
1 A2 122
2 A2 123
1 A2 147
2 A2 152
2 A3 144
2 A4a 023
1 B1 223
2 B1 225
1 P-A 002
2 P-A 005
2 P-A 007

# c4cbddad
Energy: Fighting
1 A1a 047
2 A2 123
1 A2 146
1 A2 150
2 A2 152
2 A2a 045
1 A2a 046
1 A2b 069
2 A3 144
1 A3 155
2 A4a 023
2 P-A 005
2 P-A 007

# c7b164fb
Energy: Fighting, Water
1 A1 225
2 A2 121
1 A2 122
2 A2 123
2 A2 147
2 A2 152
2 A3 144
1 A3 155
2 A4a 023
1 B1 225
2 P-A 005
2 P-A 007

# ca17ea15
Energy: Fighting, Water
2 A2 121
1 A2 122
2 A2 123
2 A2 146
1 A2 147
2 A2 152
1 A2 155
2 A3 144
1 A4 077
2 A4a 023
2 P-A 005
2 P-A 007

# ca3788b4
Energy: Fighting, Water
2 A2 121
2 A2 123
1 A2 150
1 A2 152
1 A2a 046
2 A3 144
2 A4a 023
1 B1 225
1 B2b 069
1 B3 147
1 B3b 061
1 B3b 064
2 P-A 005
2 P-A 007

# cccc47d6
Energy: Fighting, Water
2 A2 121
1 A2 122
2 A2 123
1 A2 147
2 A2 152
1 A2b 069
2 A3 144
1 A3 155
1 A3a 064
1 A4 077
2 A4a 023
2 P-A 005
2 P-A 007

# d4a81d9a
Energy: Fighting, Water
1 A2 121
2 A2 123
1 A2 150
2 A2 152
1 A2a 045
2 A3 144
2 A4a 023
1 B1 225
1 B2 138
1 B2a 093
1 B2b 069
1 B3b 064
2 P-A 005
2 P-A 007

# d5dcb659
Energy: Fighting
1 A1 225
2 A2 121
1 A2 122
2 A2 123
1 A2 150
2 A2 152
2 A3 144
1 A3 155
2 A4a 023
1 B1 223
1 B1 225
2 P-A 005
2 P-A 007

# e931240b
Energy: Fighting, Water
1 A1 225
2 A2 121
1 A2 122
2 A2 123
1 A2 147
2 A2 152
1 A2b 069
2 A3 144
1 A3 155
2 A4a 023
2 P-A 005
1 P-A 006
2 P-A 007

# f50c928b
Energy: Fighting, Water
1 A2 122
2 A2 123
1 A2 150
2 A2 152
1 A2 155
2 A2a 045
1 A2b 069
2 A3 144
1 A3a 064
2 A4a 023
2 P-A 005
1 P-A 006
2 P-A 007

# f5283de9
Energy: Fighting
2 A2 121
1 A2 122
2 A2 123
1 A2 148
2 A2 152
2 A3 144
2 A4 151
2 A4a 023
1 B1 223
1 B1 225
2 P-A 005
2 P-A 007
