# 0cfaba47
Energy: Fighting, Grass
1 A1 048
2 A1 210
2 A1a 001
2 A1a 002
1 A1a 047
2 A1a 063
2 A2b 072
2 A3 002
2 P-A 002
2 P-A 005
2 P-A 007

# 1984a243
Energy: Grass
1 A1 029
1 A1 030
1 A1 219
1 A1a 001
1 A1a 002
1 A2 019
1 A2 146
1 A2 148
1 A2 150
1 A2 155
1 A2b 005
1 A2b 069
1 A2b 070
1 A2b 072
1 A3 002
1 A3 024
1 A3 147
1 A3 151
1 P-A 005
1 P-A 007

# 3a2e80fb
Energy: Grass
2 A1 219
2 A1a 001
2 A1a 002
1 A2 148
1 A2 150
2 A3 002
1 A3 147
1 A4 032
1 A4 066
1 A4 156
2 B1 109
1 B1 225
1 P-A 005
2 P-A 007

# 3b45024a
Energy: Grass
1 A1 219
1 A1 225
2 A1a 001
2 A1a 002
1 A2 143
2 A2 147
1 A2 150
1 A2b 070
2 A2b 072
1 A3 002
1 A3 084
1 A3 149
2 P-A 005
2 P-A 007

# 85151bc8
Energy: Grass
2 A1 198
2 A1 223
1 A1 225
2 A1a 001
2 A1a 002
1 A1a 056
1 A1a 068
1 A2b 070
1 A3 002
1 A3 146
1 A3 147
1 A3 151
2 P-A 005
2 P-A 007

# b532a7e0
Energy: Grass
1 A1 029
1 A1 030
1 A1 198
2 A1 219
1 A1 223
1 A1 225
2 A1a 001
1 A1a 002
1 A2 146
1 A3 002
2 A3 147
1 A3 151
2 P-A 005
1 P-A 006
2 P-A 007
