# 00cf9b1a
Energy: Grass, Psychic
2 A1 021
1 A1 022
1 A1 023
2 A1 115
2 A1 116
2 A1 117
2 A1 219
2 A1 225
2 P-A 001
2 P-A 005
2 P-A 007

# 02543e16
Energy: Psychic
1 A1 023
2 A1 115
2 A1 116
2 A1 117
1 A1 219
2 A1 225
2 A1a 001
1 A1a 002
2 A1a 068
1 P-A 001
2 P-A 005
2 P-A 007

# 14a8a60b
Energy: Grass, Psychic
1 A1 022
1 A1 023
2 A1 115
2 A1 116
2 A1 117
2 A1 219
1 A1 225
2 A1a 001
1 A1a 032
2 A1a 068
2 P-A 005
2 P-A 007

# 2e9d2824
Energy: Psychic
2 A1 021
1 A1 022
1 A1 023
2 A1 115
2 A1 116
2 A1 117
1 A1 196
1 A1 225
1 P-A 001
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 6e018c8c
Energy: Grass, Psychic
2 A1 021
1 A1 022
1 A1 023
2 A1 115
2 A1 116
2 A1 117
2 A1 219
1 A1 225
1 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 8a03ce35
Energy: Grass, Psychic
2 A1 021
1 A1 022
1 A1 023
2 A1 115
2 A1 116
2 A1 117
1 A1 219
1 A1 225
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# c016b769
Energy: Psychic
2 A1 021
1 A1 022
1 A1 023
2 A1 115
2 A1 116
2 A1 117
1 A1 196
2 A1 223
2 A1 225
2 P-A 005
1 P-A 006
2 P-A 007

# c1b4b7a1
Energy: Grass, Psychic
2 A1 021
1 A1 022
1 A1 023
2 A1 115
2 A1 116
2 A1 117
1 A1 219
1 A1 223
1 A1 225
2 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# cca40888
Energy: Grass, Psychic
2 A1 021
2 A1 022
1 A1 023
2 A1 115
2 A1 116
2 A1 117
2 A1 219
2 A1 225
1 P-A 001
2 P-A 005
2 P-A 007

# da1ce177
Energy: Psychic
2 A1 022
1 A1 023
2 A1 115
2 A1 116
2 A1 117
1 A1 223
1 A1 225
2 A1a 001
1 A1a 056
2 A1a 068
2 P-A 005
2 P-A 007
