# 094ffc56
Energy: Fire
1 A2 148
1 A2 150
2 A3 144
2 B1 033
2 B1 035
2 B1 217
2 B1 225
1 B2a 093
1 B2b 069
2 B3 024
2 P-A 005
2 P-A 007

# 0d3261da
Energy: Fire
1 A1 225
1 A2 148
1 A2 150
2 A3 144
2 B1 033
2 B1 035
2 B1 217
1 B1 225
1 B2a 093
1 B2b 069
2 B3 024
2 P-A 005
2 P-A 007

# 1680b4da
Energy: Fire
1 A1 225
1 A2 148
1 A2 150
2 A3 144
2 B1 033
2 B1 035
2 B1 217
1 B1 225
2 B2b 069
2 B3 024
2 P-A 005
2 P-A 007

# 6d59615a
Energy: Fire
1 A2 148
1 A2 150
2 A3 144
2 B1 033
2 B1 035
2 B1 217
2 B1 225
2 B2b 069
2 B3 024
2 P-A 005
2 P-A 007

# ab6a6f6d
Energy: Fire
1 A1 225
1 A2 148
1 A2 150
2 A3 144
2 B1 033
2 B1 035
1 B1 217
2 B1 225
1 B2a 093
1 B2b 069
2 B3 024
2 P-A 005
2 P-A 007
