# 211aeb09
Energy: Lightning
2 A1 195
1 A1 203
2 A1 205
1 A1 223
1 A1 225
1 A2 147
2 A3 066
1 P-A 001
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007
2 P-A 022

# 9ad25f98
Energy: Water
2 A1 195
2 A1 205
1 A1 223
1 A1 225
1 A2 150
2 A2a 072
1 A2b 069
1 A2b 071
2 A2b 072
1 P-A 001
1 P-A 002
1 P-A 005
2 P-A 007
2 P-A 022

# 9dc95f30
Energy: Grass
2 A1 195
1 A1 198
1 A1 203
2 A1 205
1 A1 210
1 A1 218
1 A1 223
1 A1 225
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007
2 P-A 022

# b6467733
Energy: Grass
2 A1 195
1 A1 198
1 A1 203
2 A1 205
1 A1 223
2 A1 225
2 P-A 001
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007
2 P-A 022

# ed53ad8e
Energy: Psychic
2 A1 128
2 A1 195
2 A1 205
1 A1 223
2 A1 225
2 P-A 001
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007
2 P-A 022

# f575c527
Energy: Water
2 A1 031
2 A1 195
1 A1 203
2 A1 205
1 A1 223
2 A1 225
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007
2 P-A 022

# f80f787d
Energy: Grass
2 A1 195
1 A1 203
2 A1 205
2 A1 223
1 A1 225
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 006
2 P-A 007
2 P-A 022
