# 367a6a65
Energy: Fighting, Grass
1 A3 010
1 A3 012
2 A3 144
1 A3 147
1 B1 223
2 B1 225
1 B2 145
1 B2a 087
1 B2b 069
2 B3 076
1 B3 125
2 B3 126
2 P-A 005
2 P-A 007

# 5449cecf
Energy: Fighting, Grass
1 A2b 070
2 A3 010
1 A3 012
2 A3 144
2 A3 155
1 A3a 004
1 A3a 005
2 B1 225
1 B2a 093
2 B3 076
1 B3 125
2 B3 126
2 P-A 007

# d8e522f8
Energy: Fighting, Grass
1 A2 148
1 A2 150
1 A3 010
1 A3 012
2 A3 144
2 B1 225
1 B2 017
1 B2 145
1 B2b 069
2 B3 076
1 B3 125
2 B3 126
2 P-A 005
2 P-A 007

# effbfa64
Energy: Fighting, Grass
2 A2 148
1 A2 150
1 A3 010
1 A3 012
2 A3 144
2 B1 225
1 B3 004
2 B3 076
1 B3 125
2 B3 126
1 P-A 002
2 P-A 005
2 P-A 007
