# 0fb01d5e
Energy: Grass
1 A1 026
1 A1 219
1 A1 225
1 A1a 068
1 A2 022
1 A2 147
1 A2 148
1 A2 155
1 A2b 069
1 A2b 070
1 A3 024
1 A3 146
1 A3 147
1 A3 151
1 A3a 008
1 A3a 064
1 A4 022
1 P-A 001
1 P-A 005
1 P-A 007

# 65918894
Energy: Grass
1 A1 026
1 A1 219
1 A1 225
1 A1a 068
1 A2 022
1 A2 146
1 A2 147
1 A2 148
1 A2 155
1 A2b 069
1 A2b 070
1 A3 024
1 A3 146
1 A3 147
1 A3 151
1 A3a 008
1 A3a 064
1 A4 022
1 P-A 005
1 P-A 007

# ae2b465c
Energy: Grass
1 A1 026
2 A1 219
1 A1 225
2 A2 146
2 A2 147
2 A2 148
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 006
2 P-A 007

# cd536bb0
Energy: Grass
2 A1 026
2 A1 219
1 A1 223
1 A1 225
1 A1a 068
2 A2 147
1 A2 148
1 A2 150
1 A2 155
1 A2b 071
1 A2b 072
2 P-A 001
2 P-A 005
2 P-A 007
