# 15837767
Energy: Fighting, Metal
1 A1a 056
1 A2 150
2 A3 144
2 B1 177
2 B1 225
1 B1a 065
1 B2 147
2 B2b 054
2 B2b 056
2 B2b 067
2 P-A 005
2 P-A 007

# 1e1f916f
Energy: Fighting, Metal
1 A2 150
2 A3 144
2 B1 177
2 B1 225
1 B2 147
2 B2b 054
1 B2b 055
2 B2b 056
2 B2b 067
1 B3b 064
2 P-A 005
2 P-A 007

# 2a24c59c
Energy: Fighting, Metal
1 A1 225
1 A2 150
2 A3 144
2 B1 177
2 B1 225
1 B1a 065
1 B2 147
2 B2b 054
2 B2b 056
2 B2b 067
2 P-A 005
2 P-A 007

# 3ec7ff62
Energy: Fighting, Metal
1 A1 225
1 A2 148
2 A2 150
1 A2 155
2 A3 144
2 B1 177
1 B1 225
1 B1a 065
2 B2b 054
2 B2b 056
1 B2b 067
2 P-A 005
2 P-A 007

# a4866391
Energy: Fighting, Metal
1 A2 148
1 A2 150
1 A2 155
1 A2b 070
2 A3 144
2 B1 177
1 B1 225
1 B1a 065
2 B2b 054
2 B2b 056
2 B2b 067
2 P-A 005
2 P-A 007

# c51e3ece
Energy: Fighting, Metal
1 A2 150
1 A2a 069
2 A3 144
2 B1 177
1 B1 225
1 B1 226
1 B2 124
2 B2b 054
2 B2b 056
1 B2b 067
2 B3 148
2 P-A 005
2 P-A 007

# f6a75f50
Energy: Fighting, Metal
1 A1 225
1 A2 150
2 A3 144
2 B1 177
2 B1 225
1 B1a 065
2 B2b 054
2 B2b 056
2 B2b 067
1 P-A 002
2 P-A 005
2 P-A 007
