# 37175125
Energy: Fire
2 A1 037
2 A1 038
2 A1 049
2 A1 221
1 A1 225
1 A1a 010
1 A1a 011
2 A1a 016
2 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 42e58543
Energy: Fire
2 A1 037
2 A1 038
2 A1 221
2 A1a 015
2 A1a 016
1 A2 035
1 A2 146
1 A2 147
1 A2 148
1 A2 150
2 A2b 111
1 P-A 002
2 P-A 007

# 4ebf1216
Energy: Fire
2 A1 037
2 A1 038
2 A1 221
2 A1 225
1 A1a 010
1 A1a 011
2 A1a 015
2 A1a 016
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 52ae6125
Energy: Fire
2 A1 037
2 A1 038
2 A1 221
2 A1 223
1 A1a 012
2 A1a 015
2 A1a 016
1 A1a 068
2 P-A 002
2 P-A 005
2 P-A 007

# 84552864
Energy: Fire
2 A1 037
2 A1 038
1 A1 042
1 A1 198
2 A1 221
2 A1 225
1 A1a 011
2 A1a 015
2 A1a 016
1 P-A 002
2 P-A 005
2 P-A 007

# 9614aae3
Energy: Fire
2 A1 037
2 A1 038
2 A1 049
2 A1 221
2 A1 223
2 A1 225
2 A1a 016
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 996f6a99
Energy: Fire
2 A1 037
2 A1 038
1 A1 198
2 A1 221
1 A1 225
1 A1a 010
1 A1a 011
2 A1a 015
2 A1a 016
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# a89a5c3e
Energy: Fire
2 A1 037
2 A1 038
2 A1 221
2 A1a 015
2 A1a 016
2 A2 146
2 A2 147
1 A2 150
1 A2a 069
2 P-A 005
2 P-A 007

# cab1f306
Energy: Fire
2 A1 037
2 A1 038
1 A1 044
1 A1 221
1 A1 225
2 A1a 015
2 A1a 016
1 A2 147
1 A2 148
1 A2 150
2 A2b 111
2 P-A 002
2 P-A 007

# d04beef4
Energy: Fire
2 A1 037
2 A1 038
2 A1 221
1 A1 225
1 A1a 010
1 A1a 011
2 A1a 015
2 A1a 016
2 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# e85bc731
Energy: Fire
2 A1 037
2 A1 038
2 A1 049
2 A1 204
2 A1 223
2 A1 225
2 A1a 016
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# fb8aeb69
Energy: Fire
2 A1 037
2 A1 038
1 A1 048
2 A1 221
2 A1a 015
2 A1a 016
2 A2 147
1 A2 148
1 A2 155
2 A2b 111
1 P-A 002
2 P-A 007
