# 0029216f
Energy: Fire, Water
2 A1 187
1 A1 195
2 A1 225
2 A1a 056
2 A1a 057
2 A1a 059
2 A1a 068
2 P-A 001
2 P-A 005
2 P-A 007
1 P-A 022

# 19bf9b4a
Energy: Metal
2 A1 181
2 A1 182
1 A1 186
1 A1 187
1 A1 195
1 A1 223
1 A1 225
1 A1a 059
2 A1a 068
1 A2 119
2 P-A 001
1 P-A 002
1 P-A 005
2 P-A 007
1 P-A 022

# 420cd564
Energy: Grass
2 A1 187
2 A1 195
2 A1 223
2 A1 225
2 A1a 057
2 A1a 059
1 A1a 068
1 P-A 002
2 P-A 005
2 P-A 007
2 P-A 022

# 52894830
Energy: Metal
2 A1 181
2 A1 182
1 A1 186
1 A1 187
1 A1 195
1 A1 225
1 A1a 059
2 A1a 068
1 A2 119
2 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007
1 P-A 022

# 8d64ce55
Energy: Metal
1 A1 186
2 A1 187
2 A1 195
1 A1a 032
2 A1a 059
2 A1a 068
2 A2 119
2 A2 147
1 P-A 002
2 P-A 005
2 P-A 007
1 P-A 022

# a8666c9b
Energy: Psychic
2 A1 187
2 A1 195
2 A1 223
1 A1 225
1 A1a 032
2 A1a 057
2 A1a 059
1 A1a 068
1 P-A 002
2 P-A 005
2 P-A 007
2 P-A 022
