# 001cd923
Energy: Lightning, Water
2 A1 183
2 A1 184
2 A1 185
2 A1a 056
2 A1a 068
2 A2 146
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 002274eb
Energy: Lightning, Water
2 A1 183
2 A1 184
2 A1 185
1 A1 203
2 A1a 056
1 A1a 068
2 A2 146
2 A2 148
1 A2a 072
1 A2b 069
2 P-A 005
2 P-A 007

# 0073ebbb
Energy: Lightning, Water
2 A1 183
2 A1 184
2 A1 185
2 A1a 056
1 A1a 068
1 A2 146
2 A2 147
1 A2a 072
1 A2b 069
1 A2b 072
1 P-A 001
2 P-A 005
2 P-A 007

# 00fbcc69
Energy: Lightning, Water
2 A1 183
2 A1 184
2 A1 185
2 A1a 056
1 A1a 068
2 A2 146
1 A2 148
1 A2 150
2 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 01b66ae0
Energy: Lightning
2 A1 183
2 A1 184
2 A1 185
2 A1a 056
2 A1a 068
2 A2 146
2 A2 148
2 P-A 001
2 P-A 005
2 P-A 007

# 031a6350
Energy: Lightning, Water
2 A1 183
2 A1 184
2 A1 185
1 A1 196
2 A1a 056
2 A1a 068
1 A2 146
2 A2 148
2 A2a 072
2 P-A 005
2 P-A 007

# 036a93a9
Energy: Lightning, Water
2 A1 183
2 A1 184
2 A1 185
2 A1a 056
1 A1a 068
1 A2 147
1 A2 154
1 A2b 069
2 A2b 072
2 P-A 001
2 P-A 005
2 P-A 007

# 044adc41
Energy: Lightning, Water
2 A1 183
2 A1 184
2 A1 185
2 A1a 056
2 A1a 068
2 A2 146
2 A2 148
1 A2 150
1 P-A 001
2 P-A 005
2 P-A 007

# 08274459
Energy: Lightning, Water
2 A1 183
2 A1 184
2 A1 185
2 A1a 056
2 A1a 068
1 A2 146
2 A2 148
1 A2a 072
2 A2b 111
2 P-A 001
2 P-A 007

# 08a49847
Energy: Lightning, Water
2 A1 183
2 A1 184
2 A1 185
2 A1a 056
2 A1a 068
2 A2 146
2 A2 147
1 A2 148
1 A2 150
2 P-A 005
2 P-A 007

# 0a4bc2c5
Energy: Lightning, Water
2 A1 183
2 A1 184
2 A1 185
2 A1a 056
1 A1a 068
1 A2 050
2 A2 146
2 A2 147
1 A2 154
1 P-A 002
2 P-A 005
2 P-A 007

# 0b3dbe46
Energy: Lightning, Water
2 A1 183
2 A1 184
2 A1 185
1 A1 225
2 A1a 056
1 A1a 068
1 A2 146
1 A2 147
1 A2 148
1 A2 150
1 A2b 071
1 A2b 072
2 P-A 005
2 P-A 007

# 0c118b46
Energy: Lightning, Water
2 A1 183
2 A1 184
2 A1 185
1 A1 223
2 A1 225
2 A1a 056
1 A1a 068
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 0c908e0a
Energy: Lightning, Water
2 A1 183
2 A1 184
2 A1 185
2 A1 223
2 A1a 056
2 A1a 068
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 0f36c5fb
Energy: Lightning, Water
2 A1 183
2 A1 184
2 A1 185
1 A1 223
1 A1 225
2 A1a 056
2 A1a 068
2 P-A 001
2 P-A 005
2 P-A 006
2 P-A 007

# 10163587
Energy: Lightning, Water
2 A1 183
2 A1 184
2 A1 185
2 A1a 056
2 A1a 068
2 A2 146
1 A2 147
2 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 1139e788
Energy: Lightning, Water
2 A1 183
