# 0310e0d0
Energy: Lightning, Psychic
2 A1 098
1 A1 225
2 A2 051
2 A2 053
2 A2 146
1 A2 147
1 A2 150
1 A2 155
1 A3 151
1 A3b 034
2 A3b 055
2 P-A 005
2 P-A 007

# 0d714291
Energy: Lightning, Psychic
2 A1 097
2 A1 098
1 A1 225
2 A2 053
1 A2 147
1 A2 150
1 A2 155
1 A2b 069
1 A2b 070
1 A3 066
1 A3 155
1 A3b 034
1 A3b 055
2 P-A 005
2 P-A 007

# 1abad538
Energy: Lightning
2 A1 098
1 A1a 061
2 A2 051
2 A2 053
1 A2 147
1 A2 150
1 A2b 070
1 A3 066
1 A3 151
1 A3b 025
1 A3b 034
1 A3b 055
2 P-A 005
1 P-A 006
2 P-A 007

# 621918c0
Energy: Lightning
2 A1 097
2 A1 098
1 A1 102
2 A2 053
1 A2 147
1 A2 154
1 A2b 022
1 A3 066
1 A3b 034
2 A4 134
1 A4 151
1 P-A 002
2 P-A 005
2 P-A 007

# b0a446a0
Energy: Psychic
2 A1 098
2 A2 051
2 A2 053
1 A2 147
2 A2 150
1 A2 155
1 A2b 035
1 A2b 070
1 A3 084
1 A3 151
1 A3b 034
1 A3b 055
2 P-A 005
2 P-A 007

# c5f04b7e
Energy: Lightning, Psychic
2 A1 098
2 A2 051
2 A2 053
1 A2 146
1 A2 147
1 A2 150
1 A2 155
1 A3 066
1 A3 151
1 A3b 028
1 A3b 034
2 A3b 055
2 P-A 005
2 P-A 007

# cc38bd60
Energy: Lightning
2 A1 097
2 A1 098
1 A1 225
2 A2 053
1 A2 148
1 A2 155
2 A3b 025
1 A3b 034
2 A3b 055
1 A3b 056
1 A3b 066
2 P-A 005
2 P-A 007

# d8463104
Energy: Lightning
2 A1 097
2 A1 098
2 A2 053
1 A2 148
1 A2 150
1 A2 155
2 A3b 025
1 A3b 034
2 A3b 055
1 A3b 056
1 A3b 066
2 P-A 005
2 P-A 007

# d9d237ce
Energy: Psychic
2 A1 098
1 A1 225
2 A2 051
2 A2 053
1 A2 146
1 A2 147
1 A2 150
1 A3 151
1 A3b 033
1 A3b 034
2 A3b 055
2 P-A 005
1 P-A 006
2 P-A 007

# ef4d56ec
Energy: Lightning
2 A1 098
1 A1 225
2 A2 051
2 A2 053
2 A2 146
1 A2 147
1 A2 150
1 A2 155
1 A3 151
1 A3b 034
2 A3b 055
2 P-A 005
2 P-A 007

# f31eac79
Energy: Lightning
2 A1 097
2 A1 098
2 A2 053
1 A2 148
1 A3 151
2 A3b 025
1 A3b 034
2 A3b 055
1 A3b 056
2 A3b 066
2 P-A 005
2 P-A 007
