# 04075bf1
Energy: Darkness, Fighting
1 A1 164
1 A1 165
2 A1 176
2 A1 177
2 A1 222
1 A1 223
1 A1 225
2 A1a 047
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 0485b796
Energy: Darkness
1 A1 164
1 A1 165
1 A1 174
1 A1 175
2 A1 176
2 A1 177
2 A1 222
1 A1 223
2 A1 225
2 P-A 001
2 P-A 005
1 P-A 006
2 P-A 007

# 091d7f83
Energy: Darkness
1 A1 110
1 A1 111
1 A1 164
1 A1 165
1 A1 174
1 A1 175
2 A1 176
2 A1 177
2 A1 222
1 A1 225
1 P-A 001
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 0b4c958c
Energy: Darkness
1 A1 164
2 A1 165
1 A1 174
1 A1 175
2 A1 176
2 A1 177
2 A1 222
2 A1 225
1 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 0ece9905
Energy: Darkness, Fighting
1 A1 164
1 A1 165
1 A1 176
2 A1 177
2 A1 222
1 A1 223
1 A1 225
2 A1a 047
1 A1a 049
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 1da45c7b
Energy: Darkness
1 A1 164
1 A1 165
1 A1 174
1 A1 175
2 A1 176
1 A1 177
2 A1 222
1 A1a 050
2 A1a 068
1 A2 147
1 A2 148
2 A2 150
2 P-A 005
2 P-A 007

# 1e7fa3f1
Energy: Darkness
1 A1 164
1 A1 165
2 A1 176
2 A1 177
1 A1 222
1 A1 225
1 A2 150
1 A2 155
2 A2b 070
2 A3 146
2 A3a 042
2 P-A 005
2 P-A 007

# 462dc95a
Energy: Darkness
1 A1 164
1 A1 165
1 A1 174
1 A1 175
2 A1 176
2 A1 177
2 A1 222
1 A1 223
1 A2 146
1 A2 147
1 A2 148
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 5fc5a84c
Energy: Darkness
1 A1 165
2 A1 176
2 A1 177
2 A1 222
1 A1 225
1 A2 150
2 A3 146
2 A3a 042
1 A3a 044
1 A3a 045
2 P-A 005
2 P-A 007
1 P-A 056

# 68fcee8a
Energy: Darkness
2 A1 164
1 A1 165
2 A1 176
2 A1 177
1 A1 198
1 A1 203
2 A1 223
1 A1 225
2 P-A 001
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 79835cf3
Energy: Darkness
1 A1 164
2 A1 165
2 A1 176
2 A1 177
2 A1 194
2 A1 222
2 A1 225
2 P-A 002
2 P-A 005
2 P-A 007
1 P-A 022

# 8b8c1f0f
Energy: Darkness
1 A1 164
1 A1 165
1 A1 174
1 A1 175
2 A1 176
2 A1 177
2 A1 222
1 A1 223
2 A1 225
1 P-A 001
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 8d9e496a
Energy: Darkness
1 A1 164
1 A1 165
1 A1 174
1 A1 175
2 A1 176
2 A1 177
2 A1 222
1 A1 223
1 A1 225
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# c9c5b65d
Energy: Darkness, Metal
1 A1 164
1 A1 165
1 A1 174
1 A1 175
1 A1 176
2 A1 177
1 A1 181
1 A1 182
2 A1 222
2 A1 223
1 A1 225
2 P-A 001
2 P-A 005
2 P-A 007

# e4215449
Energy: Darkness
1 A1 165
2 A1 176
2 A1 177
1 A1 222
2 A1 225
1 A2 150
1 A3 146
2 A3a 042
1 A3a 044
1 A3a 045
1 P-A 001
2 P-A 005
2 P-A 007
1 P-A 056

# e4365fc2
Energy: Darkness
1 A1 164
2 A1 165
2 A1 176
2 A1 177
2 A1 222
1 A1 225
1 A1a 053
1 A1a 054
1 A1a 055
2 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# ee5bef72
Energy: Darkness
1 A1 164
1 A1 165
1 A1 174
1 A1 175
2 A1 176
2 A1 177
2 A1 222
1 A2 150
1 A2b 072
2 A3 146
1 B1 225
1 B2 153
2 P-A 005
2 P-A 007

# fc7f23ae
Energy: Darkness
1 A1 164
1 A1 165
1 A1 174
1 A1 175
2 A1 176
2 A1 177
2 A1 222
1 A1 223
2 A1 225
2 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007
