# 19c5c6ff
Energy: Lightning, Water
2 A1 183
1 A1 184
2 A1 185
1 A1 196
2 A1a 001
1 A1a 002
1 A2 146
1 A2 147
1 A2 155
1 A2b 069
1 A2b 072
1 A3 002
1 A3 144
1 A3 147
1 P-A 005
2 P-A 007

# bb16b8d2
Energy: Lightning, Water
2 A1 183
1 A1 184
2 A1 185
2 A1a 068
1 A2 146
1 A2 147
2 A2 154
1 A2 155
1 A2b 069
1 A3 001
1 A3 002
1 A3 141
1 A3 144
1 P-A 005
2 P-A 007

# fae7c32d
Energy: Lightning, Water
2 A1 183
1 A1 184
2 A1 185
2 A1a 001
1 A1a 002
1 A2 146
1 A2 147
1 A2 155
1 A2b 069
1 A2b 070
1 A3 002
1 A3 144
1 A3 147
1 P-A 002
1 P-A 005
2 P-A 007
