# 03b01909
Energy: Psychic, Water
2 A1 087
2 A1 089
1 A2 148
1 A2 150
2 A2b 035
2 A2b 070
2 A3 144
2 A3 149
2 A3b 057
2 P-A 005
2 P-A 007

# 0ccca048
Energy: Psychic
1 A2 150
1 A2 154
1 A2a 063
1 A2a 074
2 A2b 035
1 A2b 070
1 A2b 071
1 A3 149
2 A3b 057
2 B1 121
2 B1 219
1 B1 225
2 P-A 005
2 P-A 007

# 12b1e417
Energy: Psychic
1 A1a 068
2 A2 154
2 A2b 035
1 A2b 071
1 A3 080
2 A3 142
2 A3 149
1 A3a 064
2 A3b 057
2 A3b 067
2 P-A 005
2 P-A 007

# 3e1593fa
Energy: Psychic
2 A2 148
2 A2 154
2 A2b 035
2 A2b 070
2 A2b 071
2 A3a 064
2 A3b 057
1 A4 034
1 P-A 001
2 P-A 005
2 P-A 007

# 5342bd13
Energy: Darkness
1 A1a 068
2 A2 110
2 A2 148
1 A2 150
2 A2b 035
2 A2b 070
1 A2b 071
2 A3 149
2 A3b 057
2 P-A 005
1 P-A 006
2 P-A 007

# 60f3fa52
Energy: Psychic, Water
2 A1 087
2 A1 089
1 A2 147
1 A2 150
2 A2 154
2 A2b 035
1 A2b 070
2 A3 144
1 A3 149
2 A3b 057
2 P-A 005
2 P-A 007

# d3ef649a
Energy: Psychic
1 A1 225
1 A2 150
2 A2b 035
1 A3 080
1 A3 085
1 A3 087
2 A3 144
2 A3 149
2 A3b 057
2 A3b 067
2 P-A 005
2 P-A 007
1 P-A 078

# de5090c2
Energy: Psychic
1 A1 225
1 A1a 068
1 A2 147
1 A2 150
2 A2 154
1 A2 155
2 A2b 035
1 A3 080
2 A3 084
2 A3 149
2 A3b 057
2 P-A 005
2 P-A 007

# e1bc881c
Energy: Psychic
1 A2 148
1 A2 150
1 A2 154
2 A2b 035
2 A2b 070
1 A2b 071
1 A3 080
2 A3 149
1 A3a 064
2 A3b 057
1 B2 154
1 B3 147
2 P-A 005
2 P-A 007

# f25535ff
Energy: Psychic
1 A1 225
1 A2 147
2 A2 148
1 A2 150
2 A2 155
2 A2b 035
1 A2b 071
1 A3 080
2 A3 149
1 A3 151
2 A3b 057
2 P-A 005
2 P-A 007

# f3c3ee2e
Energy: Psychic
2 A1a 068
2 A2 148
1 A2 150
1 A2 155
1 A2a 063
1 A2a 074
2 A2b 035
2 A3 149
1 A3 151
2 A3b 057
1 A3b 067
2 P-A 005
2 P-A 007

# f712aaac
Energy: Psychic
1 A1 225
1 A2 150
1 A2 154
1 A2 155
2 A2b 035
2 A2b 070
1 A2b 071
1 A3 080
1 A3 149
2 A3b 057
2 A3b 067
1 A4 157
2 P-A 005
2 P-A 007

# fdc943b8
Energy: Psychic
1 A2 155
2 A2b 035
2 A2b 061
1 A2b 070
1 A2b 072
2 A3 149
1 A3a 064
2 A3b 057
2 A3b 067
2 P-A 005
2 P-A 007
2 P-A 022
