ID       Name                   Status
------------------------------------------------
A1 159   Kabutops               Attack effect not implemented
A1 168   Nidoqueen              Attack effect not implemented
A1 197   Persian                Attack effect not implemented
A1 209   Porygon                Ability not implemented
A1 226   Lt. Surge              Trainer logic not implemented
A1 240   Nidoqueen              Attack effect not implemented
A1 249   Porygon                Ability not implemented
A1 273   Lt. Surge              Trainer logic not implemented
A1 283   Mew                    Attack effect not implemented
A1a 014  Volcarona              Attack effect not implemented
A1a 031  Mew                    Attack effect not implemented
A1a 062  Chatot                 Attack effect not implemented
A1a 064  Pokémon Flute          Trainer logic not implemented
A1a 066  Budding Expeditioner   Trainer logic not implemented
A1a 067  Blue                   Trainer logic not implemented
A1a 080  Budding Expeditioner   Trainer logic not implemented
A1a 081  Blue                   Trainer logic not implemented
A2 032   Piloswine              Ability not implemented
A2 033   Mamoswine              Ability not implemented
A2 034   Regice                 Ability not implemented
A2 062   Rotom                  Attack effect not implemented
A2 075   Uxie                   Attack effect not implemented
A2 076   Mesprit                Attack effect not implemented
A2 106   Drapion                Attack effect not implemented
A2 107   Croagunk               Attack effect not implemented
A2 108   Toxicroak              Attack effect not implemented
A2 135   Bidoof                 Attack effect not implemented
A2 140   Purugly                Attack effect not implemented
A2 142   Fan Rotom              Attack effect not implemented
A2 149   Lum Berry              Tool not implemented
A2 151   Team Galactic Grunt    Trainer logic not implemented
A2 160   Mamoswine              Ability not implemented
A2 164   Rotom                  Attack effect not implemented
A2 166   Mesprit                Attack effect not implemented
A2 173   Croagunk               Attack effect not implemented
A2 177   Bidoof                 Attack effect not implemented
A2 191   Team Galactic Grunt    Trainer logic not implemented
A2a 013  Heatran                Ability not implemented
A2a 017  Whiscash               Attack effect not implemented
A2a 021  Abomasnow              Ability not implemented
A2a 034  Unown                  Ability not implemented
A2a 035  Rotom                  Ability not implemented
A2a 052  Toxicroak              Attack effect not implemented
A2a 056  Mawile                 Attack effect not implemented
A2a 060  Origin Forme Dialga    Attack effect not implemented
A2a 061  Giratina               Attack effect not implemented
A2a 065  Noctowl                Attack effect not implemented
A2a 078  Unown                  Ability not implemented
A2b 021  Tatsugiri              Ability not implemented
A2b 051  Grafaiai               Ability not implemented
A2b 075  Tatsugiri              Ability not implemented
A2b 076  Grafaiai               Ability not implemented
A3 021   Wimpod                 Ability not implemented
A3 027   Alolan Marowak         Attack effect not implemented
A3 034   Oricorio               Attack effect not implemented
A3 036   Salazzle               Attack effect not implemented
A3 050   Wishiwashi             Attack effect not implemented
A3 051   Wishiwashi ex          Attack effect not implemented
A3 053   Araquanid              Attack effect not implemented
A3 054   Pyukumuku              Ability not implemented
A3 068   Tapu Koko              Attack effect not implemented
A3 083   Mimikyu                Attack effect not implemented
A3 107   Alolan Raticate        Attack effect not implemented
A3 111   Alolan Muk ex          Attack effect not implemented
A3 124   Drampa                 Attack effect not implemented
A3 132   Hawlucha               Attack effect not implemented
A3 140   Oranguru               Attack effect not implemented
A3 143   Fishing Net            Trainer logic not implemented
A3 145   Rotom Dex              Trainer logic not implemented
A3 148   Acerola                Trainer logic not implemented
A3 152   Lana                   Trainer logic not implemented
A3 153   Sophocles              Trainer logic not implemented
A3 160   Alolan Marowak         Attack effect not implemented
A3 163   Pyukumuku              Ability not implemented
A3 166   Tapu Koko              Attack effect not implemented
A3 176   Drampa                 Attack effect not implemented
A3 184   Wishiwashi ex          Attack effect not implemented
A3 188   Alolan Muk ex          Attack effect not implemented
A3 190   Acerola                Trainer logic not implemented
A3 194   Lana                   Trainer logic not implemented
A3 195   Sophocles              Trainer logic not implemented
A3 202   Wishiwashi ex          Attack effect not implemented
A3 206   Alolan Muk ex          Attack effect not implemented
A3a 031  Claydol                Ability not implemented
A3a 037  Alolan Meowth          Attack effect not implemented
